variant,ym,p_risk,regime,ret,dd6,breadth,newlow_raw,newlow_t,trend,P_S0,P_S1,P_S2
baseline,2004-01,,Benign,0.04115495923412649,-22.1225153975113,0.42348008385744235,0.029227557411273485,0.029227557411273485,0.15824128686832947,,,
baseline,2004-02,,Benign,-0.0033053167990804155,-23.125651268905422,0.4716981132075472,0.03333333333333333,0.03333333333333333,0.1613811332129025,,,
baseline,2004-03,,Benign,-0.020056755416844152,-23.125651268905422,0.4225941422594142,0.041666666666666664,0.041666666666666664,0.12127312523347315,,,
baseline,2004-04,,Benign,-0.06837883983548998,-17.04822669606366,0.4435146443514644,0.079002079002079,0.079002079002079,0.07128273535108715,,,
baseline,2004-05,,Benign,-0.022454777350083832,-11.790086712312286,0.27348643006263046,0.043568464730290454,0.043568464730290454,-0.010148399600305103,,,
baseline,2004-06,,Benign,-0.06420284374016216,-8.936841114166516,0.28958333333333336,0.022821576763485476,0.022821576763485476,-0.03760665885061895,,,
baseline,2004-07,,Benign,0.0927869801410397,-8.936841114166516,0.225,0.05578512396694215,0.05578512396694215,-0.1056667270607355,,,
baseline,2004-08,,Benign,0.03922498257022733,-8.936841114166516,0.38958333333333334,0.02053388090349076,0.02053388090349076,-0.01601324675233033,,,
baseline,2004-09,,Benign,-0.0002993689206676198,-8.936841114166516,0.5435684647302904,0.026694045174537988,0.026694045174537988,0.017163207917091326,,,
baseline,2004-10,,Benign,0.05177036236022192,-10.900575155165859,0.5663900414937759,0.03696098562628337,0.03696098562628337,0.011368610080991055,,,
baseline,2004-11,,Benign,0.020340279025603536,-10.900575155165859,0.6970954356846473,0.02459016393442623,0.02459016393442623,0.060744857088629985,,,
baseline,2004-12,,Benign,0.04105280605239425,-10.900575155165859,0.7125256673511293,0.016293279022403257,0.016293279022403257,0.08167439434173603,,,
baseline,2005-01,,Benign,0.08433576939534881,-10.900575155165859,0.8459958932238193,0.014256619144602852,0.014256619144602852,0.11980339957208566,,,
baseline,2005-02,,Benign,-0.045166897383133287,-10.900575155165859,0.9301848049281314,0.012195121951219513,0.012195121951219513,0.1917411217093751,,,
baseline,2005-03,,Benign,-0.05631265563671062,-8.150820576126073,0.889344262295082,0.014227642276422764,0.014227642276422764,0.11883663529980971,,,
baseline,2005-04,,Benign,0.06464395365828834,-8.322152523383552,0.7402862985685071,0.028455284552845527,0.028455284552845527,0.0381519981234112,,,
baseline,2005-05,,Benign,0.03911519187847001,-8.322152523383552,0.7576374745417516,0.016260162601626018,0.016260162601626018,0.07708156318980375,,,
baseline,2005-06,,Benign,0.10229533870135499,-8.322152523383552,0.8065173116089613,0.014198782961460446,0.014198782961460446,0.09291739768206721,,,
baseline,2005-07,,Benign,-0.02516002305878673,-8.746719412492364,0.8780487804878049,0.012072434607645875,0.012072434607645875,0.16735933682648987,,,
baseline,2005-08,,Benign,0.12708967654909675,-8.746719412492364,0.7439024390243902,0.01603206412825651,0.01603206412825651,0.11176872813970651,,,
baseline,2005-09,,Benign,-0.05151474919205312,-8.746719412492364,0.9004065040650406,0.005671077504725898,0.005671077504725898,0.19932315682764482,,,
baseline,2005-10,,Benign,0.12030805175416193,-8.746719412492364,0.8536585365853658,0.007518796992481203,0.007518796992481203,0.11552293340277414,,,
baseline,2005-11,,Benign,0.0631474730322672,-11.5340989307117,0.8985801217038539,0.00375234521575985,0.00375234521575985,0.19429252939974578,,,
baseline,2005-12,,Benign,0.014832830212289538,-17.808423193543497,0.8373493975903614,0.009328358208955223,0.009328358208955223,0.22232906025660304,,,
baseline,2006-01,,Benign,-0.0201738719136767,-17.808423193543497,0.7454909819639278,0.005597014925373134,0.005597014925373134,0.199220547453102,,,
baseline,2006-02,,Benign,-0.00874167246273494,-17.808423193543497,0.6616257088846881,0.00558659217877095,0.00558659217877095,0.1435452088081431,,,
baseline,2006-03,,Benign,0.04422624739817227,-17.808423193543497,0.5902255639097744,0.0074211502782931356,0.0074211502782931356,0.10154566353499148,,,
baseline,2006-04,,Benign,-0.07186579891986777,-17.808423193543497,0.6303939962476548,0.011131725417439703,0.011131725417439703,0.11278025181992381,,,
baseline,2006-05,,Benign,-0.01711309675450623,-8.639293468825793,0.416044776119403,0.05730129390018484,0.05730129390018484,0.015212804000979619,,,
baseline,2006-06,,Benign,0.002061476913616911,-5.153632653612938,0.2947761194029851,0.011029411764705883,0.011029411764705883,-0.013166327380923458,,,
baseline,2006-07,,Benign,0.04231715200737107,-5.9967543387908995,0.24394785847299813,0.014678899082568808,0.014678899082568808,-0.016672469677263595,,,
baseline,2006-08,,Benign,0.013801650043684832,-5.9967543387908995,0.33766233766233766,0.012844036697247707,0.012844036697247707,0.014602599869848435,,,
baseline,2006-09,,Benign,-0.005002140264830257,-6.386264430782818,0.49907578558225507,0.01282051282051282,0.01282051282051282,0.02320683621676341,,,
baseline,2006-10,,Benign,0.04958404579405595,-6.386264430782818,0.522140221402214,0.012750455373406194,0.012750455373406194,0.01908522473013526,,,
baseline,2006-11,,Benign,0.0015709987092444866,-6.386264430782818,0.7522935779816514,0.014519056261343012,0.014519056261343012,0.06400078824017569,,,
baseline,2006-12,,Benign,-0.0517476837905162,-6.386264430782818,0.7119266055045872,0.019855595667870037,0.019855595667870037,0.059890355051110525,,,
baseline,2007-01,,Benign,0.04198553639575109,-6.386264430782818,0.5394495412844037,0.032432432432432434,0.032432432432432434,0.004252712379903002,,,
baseline,2007-02,,Benign,0.024842369408128562,-18.268953995384496,0.6190476190476191,0.03423423423423423,0.03423423423423423,0.0450758281281636,,,
baseline,2007-03,,Benign,0.061746541180188075,-18.268953995384496,0.7231329690346083,0.012612612612612612,0.012612612612612612,0.06339369480008655,,,
baseline,2007-04,,Benign,0.10288284894052024,-18.268953995384496,0.8061594202898551,0.01981981981981982,0.01981981981981982,0.10289315874078206,,,
baseline,2007-05,,Benign,0.0250982947648013,-18.268953995384496,0.8826714801444043,0.012589928057553957,0.012589928057553957,0.1760744838779892,,,
baseline,2007-06,,Benign,0.10878071036997672,-18.268953995384496,0.8954954954954955,0.012544802867383513,0.012544802867383513,0.17157764065553208,,,
baseline,2007-07,,Benign,-0.031051032028847292,-23.042352546683908,0.9117117117117117,0.012522361359570662,0.012522361359570662,0.2357287915979698,,,
baseline,2007-08,,Benign,0.03909802834457499,-23.042352546683908,0.8432432432432433,0.008928571428571428,0.008928571428571428,0.17232185377212264,,,
baseline,2007-09,,Benign,0.060812398984444904,-23.75039993492264,0.8216216216216217,0.010676156583629894,0.010676156583629894,0.18597959723074153,,,
baseline,2007-10,,Benign,-0.0769305712974303,-23.75039993492264,0.6834532374100719,0.01060070671378092,0.01060070671378092,0.20556931502929685,,,
baseline,2007-11,,Benign,-0.0046537225168874485,-19.390534055808338,0.4946236559139785,0.012345679012345678,0.012345679012345678,0.09064464839158813,,,
baseline,2007-12,,Benign,-0.1436116399354005,-17.00938062473454,0.4400715563506261,0.012280701754385965,0.012280701754385965,0.061961428788612466,,,
baseline,2008-01,,Benign,0.05351203839037111,-20.19609395422751,0.16607142857142856,0.03152364273204904,0.03152364273204904,-0.11030726319812328,,,
baseline,2008-02,,Benign,-0.004457768023614417,-21.95639635110014,0.23309608540925267,0.017452006980802792,0.017452006980802792,-0.06571552666346805,,,
baseline,2008-03,,Benign,0.07129148713604883,-26.530536804210758,0.19081272084805653,0.015706806282722512,0.015706806282722512,-0.07085405855911349,,,
baseline,2008-04,,Benign,0.014544226557667628,-50.301236840175,0.26455026455026454,0.017421602787456445,0.017421602787456445,-0.002413875470199361,,,
baseline,2008-05,,Benign,-0.095625303030343,-49.31210299564691,0.356140350877193,0.017421602787456445,0.017421602787456445,0.01613525253455018,,,
baseline,2008-06,,Benign,-0.04791273487358194,-43.95254845785039,0.29597197898423816,0.10416666666666667,0.10416666666666667,-0.08147053381121248,,,
baseline,2008-07,,Benign,-0.0755203586899934,-41.13202266736796,0.24781849912739964,0.031088082901554404,0.031088082901554404,-0.10874284490467363,,,
baseline,2008-08,,Benign,-0.01775825633142869,-37.484600271205935,0.17770034843205576,0.14457831325301204,0.14457831325301204,-0.16019089939252723,,,
baseline,2008-09,,Benign,-0.23134399572164677,-35.17188776606094,0.14285714285714285,0.10652920962199312,0.10652920962199312,-0.15005229851235985,,,
baseline,2008-10,,Benign,-0.03323280897476555,-19.704612573727786,0.01916376306620209,0.024054982817869417,0.024054982817869417,-0.3676482008703952,,,
baseline,2008-11,,Benign,0.044978511462916426,-17.046503244304912,0.05025996533795494,0.010309278350515464,0.010309278350515464,-0.36328060602431195,,,
baseline,2008-12,,Benign,0.033473561437039834,-17.046503244304912,0.06368330464716007,0.010309278350515464,0.010309278350515464,-0.2797203962162543,,,
baseline,2009-01,0.9999978057129245,Risk,-0.08525867370867979,-15.818915824881863,0.0963855421686747,0.00859106529209622,0.00859106529209622,-0.21296970755925537,4.587865152113035e-10,4.387656577866757e-06,0.9999956118846356
baseline,2009-02,0.9999909144450856,Risk,0.13473747356270582,-5.23507102218862,0.11855670103092783,0.02577319587628866,0.02577319587628866,-0.2549394517452872,5.5340506655726546e-08,3.184296449358342e-05,0.9999681016949997
baseline,2009-03,0.9996728796051165,Risk,0.13521129297623613,-5.23507102218862,0.3556701030927835,0.005128205128205128,0.005128205128205128,-0.07152892309056592,0.000163725081983183,0.0009628603057385825,0.9988734146122782
baseline,2009-04,0.5000774238777087,Risk,0.019374035739815998,-8.039541043237852,0.7920962199312714,0.005119453924914676,0.005119453924914676,0.08430311563580845,0.9992613446614591,0.0005133743764799512,0.0002252809620610063
baseline,2009-05,0.2500389571504389,Benign,-0.004169431902441678,-11.308526734305968,0.8333333333333334,0.005110732538330494,0.005110732538330494,0.11582055272844527,0.9999991007951515,8.17563358841296e-07,8.16414896013615e-08
baseline,2009-06,0.12501993638969963,Benign,0.12029617158463801,-11.308526734305968,0.8092783505154639,0.003395585738539898,0.003395585738539898,0.12039650568715698,0.9999984191345058,1.3304730677163767e-06,2.5039242654317017e-07
baseline,2009-07,0.06251001177442615,Benign,0.022192357015423214,-11.308526734305968,0.8970840480274442,0.003389830508474576,0.003389830508474576,0.2288316787069986,0.9999998572823094,1.1111707592137808e-07,3.160061470599978e-08
baseline,2009-08,0.03125508267460546,Benign,0.0510663946409764,-11.308526734305968,0.8683760683760684,0.005084745762711864,0.005084745762711864,0.21152881440654714,0.9999997621772775,1.6849587539979637e-07,6.932684706055084e-08
baseline,2009-09,0.015629714378344015,Benign,-0.05525543136425026,-9.826886588548733,0.7662116040955631,0.005067567567567568,0.005067567567567568,0.21100335580063334,0.9999951513631833,1.0051094682874236e-06,3.843527348430075e-06
baseline,2009-10,0.007862566537832441,Benign,-0.015872794001580925,-9.826886588548733,0.6207482993197279,0.008431703204047217,0.008431703204047217,0.11846226221756012,0.9999009480935391,7.266418280181639e-06,9.178548818077841e-05
baseline,2009-11,0.007490887736520523,Benign,0.08174983668112512,-10.921698461936312,0.47368421052631576,0.0067226890756302525,0.0067226890756302525,0.0712545545250961,0.9928341720537717,9.323802203953493e-05,0.007072589924188838
baseline,2009-12,0.004115878151674768,Benign,-0.047742689070899846,-10.921698461936312,0.5610169491525424,0.008389261744966443,0.008389261744966443,0.11033078928034609,0.9992485402339297,2.118239848247996e-05,0.0007302773675877725
baseline,2010-01,0.012381695664828017,Benign,-0.0048988707108124085,-10.921698461936312,0.3559322033898305,0.01669449081803005,0.01669449081803005,0.034310035476126294,0.9587266630732394,0.041251647497558976,2.1689429201780167e-05
baseline,2010-02,0.03472640916928656,Benign,0.06162752714789543,-10.921698461936312,0.40878378378378377,0.0066555740432612314,0.0066555740432612314,0.015479414443327906,0.8858655346541928,0.11412668534412429,7.780001682955787e-06
baseline,2010-03,0.02159407382791328,Benign,0.028774010520898452,-10.921698461936312,0.5430016863406408,0.008305647840531562,0.008305647840531562,0.05702194992769746,0.9830785712815282,0.016919380463863622,2.048254608195984e-06
baseline,2010-04,0.08933578653108248,Benign,-0.05759781759966809,-10.37748320233044,0.5932773109243697,0.03820598006644518,0.03820598006644518,0.06308711798021331,0.7054555078731516,0.27493398578519346,0.019610506341654947
baseline,2010-05,0.10623350283969335,Benign,0.03475402227722779,-3.91121457460053,0.4429530201342282,0.01652892561983471,0.01652892561983471,-0.0029349726695730993,0.7537667709424827,0.246204019818426,2.9209239091203437e-05
baseline,2010-06,0.07919680187714573,Benign,0.035941986108499524,-3.845078550467851,0.52,0.014802631578947368,0.014802631578947368,0.02514853549060055,0.895701324469146,0.10427714923251201,2.1526298342111046e-05
baseline,2010-07,0.04321254650979127,Benign,-0.009424017363899306,-3.845078550467851,0.5640599001663894,0.016339869281045753,0.016339869281045753,0.055829218533211336,0.9855527202292321,0.014437977256661945,9.302514105837798e-06
baseline,2010-08,0.15245647429999007,Benign,0.07462921164467073,-8.337227923902812,0.5149501661129569,0.037520391517128875,0.037520391517128875,0.0363023259848881,0.5057348328550907,0.4651295301094408,0.02913563703546848
baseline,2010-09,0.08082881956655616,Benign,0.005414266402295365,-9.064177775192928,0.6461794019933554,0.00487012987012987,0.00487012987012987,0.09618033981896787,0.9815989260635297,0.018399818206696027,1.2557297742467148e-06
baseline,2010-10,0.04093679459276613,Benign,0.011513876774815301,-9.064177775192928,0.7166392092257001,0.003246753246753247,0.003246753246753247,0.08833412707003842,0.9979110520440894,0.0020883566738690495,5.912820415845812e-07
baseline,2010-11,0.02212246140203416,Benign,0.07684956907217955,-9.064177775192928,0.5773026315789473,0.021103896103896104,0.021103896103896104,0.08175307313050299,0.99339698755339,0.006589768470615587,1.324397599439252e-05
baseline,2010-12,0.011470129145292468,Benign,0.009132121145173144,-9.390475387247498,0.6356209150326797,0.004838709677419355,0.004838709677419355,0.13271851868142573,0.9983647633436018,0.0016348795356950399,3.571207032556889e-07
