variant,mean,median,max,gt03,gt05,risk_months,delta_mean,p_top_mean
baseline,0.5840657921016336,0.5468853145761247,0.7502462403683788,14,14,14,0.0,0.16813158420484206
zclip2,0.6235113859806422,0.5788051157532456,0.8741136033657269,14,14,14,0.03944559387900859,0.24702277196128467
pct60,0.5518215412466605,0.5155028297498178,0.7373134829534161,14,14,14,-0.03224425085497307,0.10364308249332126
log1p,0.5,0.5,0.5,14,0,0,-0.08406579210163356,1.3412940317108046e-29
