ym,fx3m,fflow,z_fx,z_ff,stress_L1,win_mean,win_std,stress_L2
2021-01,-0.01446974302524711,15642276.0,-0.5582046071437237,-1.6640034579147092,1.1057988507709855,0.8255757140870269,1.3363651808667596,0.20969054004573567
2021-02,0.011781977512099383,14052782.0,0.25382063327007887,-1.7478110964256974,2.0016317296957764,0.8490968343992019,1.333140416699095,0.8645262569458115
2021-03,0.04134649309665884,12078798.0,1.1193189984157577,-1.8587247402669445,2.978043738682702,0.8908408913459371,1.3526061451029339,1.5430972669688932
2021-04,-0.004905497829806908,11183900.0,-0.30311005947127745,-1.8230896822736413,1.5199796228023639,0.9029397131047147,1.3423208681402286,0.45968138012550613
2021-05,0.009766601557135685,9505828.0,0.1351677277631264,-1.8718164496452177,2.006984177408344,0.923770740733085,1.338055700653687,0.8095428578470453
2021-06,0.0029313604095446686,7539001.0,-0.030969631515471233,-1.9320804638773867,1.9011108323619155,0.9418696313188041,1.332140695494985,0.7200749917534874
2021-07,0.032472257043458116,4811593.0,0.9321972932841224,-2.042651937501782,2.9748492307859045,0.9788328967636605,1.3476322498592512,1.4811283514100992
2021-08,0.054517771410544605,2341054.0,1.5865673610829047,-2.0976419652225067,3.684209326305411,1.0271431901483346,1.3827674214610857,1.9215567947268823
2021-09,0.05122746776139462,22022.0,1.392741581745239,-2.1165838491956186,3.5093254309408577,1.0706902470043436,1.4087925556029515,1.7310108379737907
2021-10,0.022831971098894212,-1889532.0,0.5159109709949278,-2.0867149234317024,2.6026258944266303,1.09710293058059,1.4107595336622596,1.0671719218303688
2021-11,0.029213405596738788,-2834677.0,0.6832086314477605,-1.9842382970342753,2.6674469284820357,1.1237189305450213,1.4133638608212191,1.092236783207271
2021-12,-4.35867026227979e-05,-2608305.0,-0.20126907489519577,-1.8129669365287922,1.6116978616335964,1.131851912729831,1.4029278996363612,0.3420317955656236
2022-01,0.032277634457857016,-1506055.0,0.7393777664763331,-1.6039873553250645,2.3433651218013978,1.1709079980931876,1.403492989709696,0.8353850938117908
2022-02,0.00594133694510903,-431622.0,-0.06814862323378344,-1.42296236287418,1.3548137396403968,1.193488227087194,1.3953479739665047,0.11561668877404958
2022-03,0.017897868287493218,-1148692.0,0.29185064613534006,-1.391004567595901,1.6828552137312411,1.2215358139827148,1.3879698842717936,0.332369891194138
2022-04,0.06177777752300678,-3234127.0,1.56633364247536,-1.461388195517884,3.0277218379932442,1.2719978446159355,1.397646815156809,1.2562000450193314
2022-05,0.026526605375744305,-5650065.0,0.565176343558283,-1.552600051675261,2.1177763952335438,1.3072941178698279,1.391807041347798,0.5823237364832824
2022-06,0.07769114761319382,-7458520.0,1.9615747166204531,-1.5931283950603183,3.5547031116807712,1.366539169731174,1.4104304374041323,1.551415711380599
2022-07,0.019127704994306983,-9006554.0,0.2686438026185014,-1.6139950725972472,1.8826388752157486,1.3979164843181031,1.4005873683132086,0.34608507938732425
2022-08,0.09082862743141758,-9057630.0,2.1207325429398307,-1.535562253197798,3.6562947961376286,1.458854730920397,1.41787395117327,1.5498134103169527
2022-09,0.1266892075261904,-8558170.0,2.6955330471429484,-1.425757504431649,4.121290551574598,1.5275429067799737,1.4451021643695925,1.7948541680658676
2022-10,0.09846176895464895,-7183428.0,1.8601992243464591,-1.2589044853997065,3.119103709746166,1.5795279686090768,1.445318578412287,1.065215491634467
2022-11,-0.012978994860948558,-6251226.0,-0.7225145338911323,-1.1367917058661143,0.41427717197498204,1.5864325881419932,1.4387308526116995,-0.8147148670819881
2022-12,-0.10733468493637084,-5332331.0,-2.611730347361604,-1.0196181423591502,-1.5921122050024539,1.579561283953638,1.4528413053257472,-2.1830832281175234
2023-01,-0.12394665681137237,-3884387.0,-2.583186896779991,-0.8595144985330622,-1.7236723982469289,1.5737249585799673,1.4653421195215441,-2.25025767747213
2023-02,-0.0053563126789264795,-2371817.0,-0.31326627317871386,-0.689340058585317,0.37607378540660313,1.5730648444332043,1.4658724772014096,-0.8165724350697138
2023-03,0.02843180433085494,-1136292.0,0.3501159986985377,-0.5338259243235243,0.883941923022062,1.5927168724895906,1.4484952394931743,-0.4893181072698654
