variant,state,months,breadth,newlow_t,trend,dur_mean,dur_med,dd6_mean,dd6_med,next_ret,episodes
baseline,S0,83,0.514506769981676,0.017800894184659383,0.034424627324329174,7.545454545454546,3.0,-9.89016147583423,-9.320975498543882,0.6270428952229049,11
baseline,S1,103,0.44820817521976447,0.03357591501757876,0.05320532083654236,6.0588235294117645,4.0,-12.157788291356123,-10.650944354368285,0.8915420630321857,17
baseline,S2,25,0.2645428668725346,0.05314840221188903,-0.05536320641013814,2.0833333333333335,1.0,-14.95983474608778,-12.36034800901422,2.9223617356957927,12
zclip2,S0,9,0.735758787030859,-0.5872801575999028,0.141325736554288,9.0,9.0,-10.530090897936867,-10.921698461936312,1.9070938813645115,1
zclip2,S1,96,0.44007504274725223,0.09055004214663576,0.008794595311990793,4.571428571428571,2.0,-11.932450947580634,-10.918868432373262,-0.40960499719845284,21
zclip2,S2,106,0.43975511736711587,-0.09057226791614202,0.04563301108386812,4.818181818181818,3.0,-11.338986263588072,-8.948855584600572,2.268563132609045,22
pct60,S0,8,0.7287166079183074,0.09533898305084745,0.14845356416909794,8.0,8.0,-10.841409629774246,-11.11511259812114,1.9033051697873753,1
pct60,S1,115,0.47834034500781425,0.5392778187177598,0.03512230037032889,11.5,5.0,-11.489690575786186,-10.563141069583466,0.33540111313503784,10
pct60,S2,88,0.39368412600776265,0.5362095531587058,0.019620669294194582,8.0,4.0,-11.76537350612995,-9.022432045446305,1.864865801797132,11
log1p,S0,26,0.54676399255264,0.9835741632485036,0.032166273444133135,3.25,2.0,-11.567045127081071,-10.467075619286343,0.47134744896336667,8
log1p,S1,169,0.44531745662224786,1.119466709946813,0.04093893554643527,21.125,2.0,-11.775499611165605,-10.361688207723441,1.0229531043153353,8
log1p,S2,16,0.3755351032749812,0.8145044826874369,-0.05010570394158068,4.0,3.0,-9.627195342742382,-9.155612405844366,1.9956086829471893,4
