model,state,months,share,breadth,newlow,trend,mean_duration,n_episodes,cond_dd6,next_ret
2-state,S0,164,0.7772511848341233,0.4365449463989638,0.026950045216145947,0.059930960768595484,7.809523809523809,21,-11.764031021180134,1.1150777855476441
2-state,S1,47,0.22274881516587677,0.24621870162196258,0.14891345491820027,-0.06697778711732526,2.238095238095238,21,-10.931994933759066,0.729430108104529
3-state,S0,145,0.6872037914691943,0.42200278045646983,0.03467171299911954,0.05024751020092823,7.631578947368421,19,-11.478883010186172,0.7292394169802933
3-state,S1,36,0.17061611374407584,0.4108123005253469,0.040146244163354515,0.026723576012675956,3.0,12,-9.69049365326132,1.2955693100202539
3-state,S2,30,0.14218009478672985,0.12202592058815631,0.29481207927960557,-0.15033730672720352,3.0,10,-14.325407515823143,2.1463307639762497
