variant,ym,pbear,regime,ret,dd6
A. 기존 newlow,2017-01,,Bull,0.011641600247119799,-2.5032266220640476
A. 기존 newlow,2017-02,,Bull,0.03279249364769088,-5.37705297443093
A. 기존 newlow,2017-03,,Bull,0.020928309182937088,-5.37705297443093
A. 기존 newlow,2017-04,,Bull,0.06435901460809901,-5.37705297443093
A. 기존 newlow,2017-05,,Bull,0.018919032481777176,-5.37705297443093
A. 기존 newlow,2017-06,,Bull,0.004565585480605261,-5.37705297443093
A. 기존 newlow,2017-07,,Bull,-0.016448102423411104,-5.106779372261084
A. 기존 newlow,2017-08,,Bull,0.01323635851219862,-9.022432045446305
A. 기존 newlow,2017-09,,Bull,0.05385741417322154,-9.022432045446305
A. 기존 newlow,2017-10,,Bull,-0.01864914649028071,-9.022432045446305
A. 기존 newlow,2017-11,,Bull,-0.003585944964967669,-9.022432045446305
A. 기존 newlow,2017-12,,Bull,0.04010957332950493,-10.92876031296578
A. 기존 newlow,2018-01,0.9929935303714662,Bear,-0.05419911303226155,-12.107655925343652
A. 기존 newlow,2018-02,0.9962532369553476,Bear,0.0076173247545101574,-10.916038402810212
A. 기존 newlow,2018-03,0.9981235886117799,Bear,0.028427655980584055,-10.916038402810212
A. 기존 newlow,2018-04,0.9989895216611533,Bear,-0.03672203696866427,-20.646179033749025
A. 기존 newlow,2018-05,0.9992716403163012,Bear,-0.03998337875727398,-19.207231269225268
A. 기존 newlow,2018-06,0.5014972343715908,Bear,-0.013270915469926647,-15.257506834948876
A. 기존 newlow,2018-07,0.7507485529567293,Bear,0.012033439753823538,-15.357280452694022
A. 기존 newlow,2018-08,0.8753742546530872,Bear,0.008691876707128454,-15.357280452694022
A. 기존 newlow,2018-09,0.9376870426358723,Bear,-0.1337476549186405,-14.910784013904033
A. 기존 newlow,2018-10,0.9395696012904465,Bear,0.03309380642103732,-6.483795664071157
A. 기존 newlow,2018-11,0.9697847987673579,Bear,-0.026620787987619576,-10.019876469916355
A. 기존 newlow,2018-12,0.984892398043431,Bear,0.0802581308836019,-10.019876469916355
A. 기존 newlow,2019-01,0.963464897203322,Bear,-0.004267934704496712,-10.019876469916355
A. 기존 newlow,2019-02,0.9295975835654118,Bear,-0.02494717277311076,-15.072285771240034
A. 기존 newlow,2019-03,0.902453374403128,Bear,0.02939274540771497,-15.072285771240034
A. 기존 newlow,2019-04,0.6460374945900216,Bear,-0.07344836888932471,-13.695177451700369
A. 기존 newlow,2019-05,0.7244047679411174,Bear,0.04353156003126646,-10.52373122249326
A. 기존 newlow,2019-06,0.6449753367451452,Bear,-0.049783660401832464,-10.368350250142655
A. 기존 newlow,2019-07,0.8009562002287769,Bear,-0.02803586396813429,-6.538316914075426
A. 기존 newlow,2019-08,0.8979169490992944,Bear,0.04840964120898228,-12.36034800901422
A. 기존 newlow,2019-09,0.9313299465193171,Bear,0.009902780425627533,-35.70889779916474
A. 기존 newlow,2019-10,0.9407108739172892,Bear,0.002150239268313925,-35.70889779916474
A. 기존 newlow,2019-11,0.9393034529325461,Bear,0.05254409231498869,-35.70889779916474
A. 기존 newlow,2019-12,0.8311549139594182,Bear,-0.035792414195787936,-35.70889779916474
A. 기존 newlow,2020-01,0.9155774552508598,Bear,-0.062293240424381,-35.03091217438568
A. 기존 newlow,2020-02,0.9577887266352769,Bear,-0.11694455185185326,-30.09792506344231
A. 기존 newlow,2020-03,0.9788943553602564,Bear,0.10994850358748165,-7.508801311518287
A. 기존 newlow,2020-04,0.9884694098235316,Bear,0.04212446061941999,-7.508801311518287
A. 기존 newlow,2020-05,0.9642486490392941,Bear,0.038790945746012495,-7.508801311518287
A. 기존 newlow,2020-06,0.8649268583314987,Bear,0.06689656450185977,-7.220151177391654
A. 기존 newlow,2020-07,0.4764901661357419,Bear,0.034142804734832444,-7.253996740571744
A. 기존 newlow,2020-08,0.24181382572600799,Bull,0.0007394002849707704,-7.253996740571744
A. 기존 newlow,2020-09,0.12386903308538504,Bull,-0.02609229518459133,-7.817720647628201
A. 기존 newlow,2020-10,0.06634385520292993,Bull,0.14299459652479585,-7.817720647628201
A. 기존 newlow,2020-11,0.043487331073912866,Bull,0.1088741242922524,-7.817720647628201
A. 기존 newlow,2020-12,0.09265315865472146,Bull,0.03575467684780964,-7.817720647628201
A. 기존 newlow,2021-01,0.04633958624023766,Bull,0.012344555900485554,-6.484782512052478
A. 기존 newlow,2021-02,0.023186885375930225,Bull,0.01608721402234803,-7.403461627668206
A. 기존 newlow,2021-03,0.01161208947849329,Bull,0.0282353247031637,-7.41072259557074
A. 기존 newlow,2021-04,0.005833954738613556,Bull,0.017808864606451147,-12.008311333757815
A. 기존 newlow,2021-05,0.002959476581759335,Bull,0.02895203751264175,-14.105002607448291
A. 기존 newlow,2021-06,0.0015367661561241225,Bull,-0.02862269472253287,-14.105002607448291
A. 기존 newlow,2021-07,0.0011641004197655376,Bull,-0.0009524497124010489,-20.29917010731119
A. 기존 newlow,2021-08,0.0008830600042994826,Bull,-0.04077491126897381,-18.476031508636524
A. 기존 newlow,2021-09,0.001071534905584363,Bull,-0.03197976242745859,-14.804715428229386
A. 기존 newlow,2021-10,0.0013254653495135273,Bull,-0.044323159985223404,-13.700956530435404
A. 기존 newlow,2021-11,0.5006626897483902,Bull,0.04883388649607845,-15.826997871484672
A. 기존 newlow,2021-12,0.268372041715078,Bull,-0.1055563362924995,-22.578311680558038
A. 기존 newlow,2022-01,0.13457598270683488,Bull,0.013456728231198367,-17.313566132999235
A. 기존 newlow,2022-02,0.06780048155269512,Bull,0.021662124120634507,-16.93207993889052
A. 기존 newlow,2022-03,0.03482362093113108,Bull,-0.022700435418731346,-21.879891694006993
A. 기존 newlow,2022-04,0.019954295171161106,Bull,-0.003395167554811729,-20.0204095960431
A. 기존 newlow,2022-05,0.010468123254283675,Bull,-0.1315238924046893,-19.74794040710648
A. 기존 newlow,2022-06,0.006459459237332571,Bull,0.05095518935436982,-14.92113843121784
A. 기존 newlow,2022-07,0.00375221907263083,Bull,0.00838264280160117,-14.92113843121784
A. 기존 newlow,2022-08,0.002558800524104594,Bull,-0.12805568347769303,-12.805568347769302
A. 기존 newlow,2022-09,0.5012793632318885,Bull,0.06407829208823257,-10.650944354368285
A. 기존 newlow,2022-10,0.2581310263082743,Bull,0.0780079932923361,-10.650944354368285
A. 기존 newlow,2022-11,0.1297338017744414,Bull,-0.09550141925688738,-10.531330529144933
A. 기존 newlow,2022-12,0.5628784934364117,Bull,0.08436781614214572,-5.436753639916714
A. 기존 newlow,2023-01,0.2910446361353564,Bull,-0.005043124381363007,-5.422280511656896
A. 기존 newlow,2023-02,0.14676812354305543,Bull,0.026528796723759074,-6.095455469581212
A. 기존 newlow,2023-03,0.07452254604643876,Bull,0.009960159558901616,-7.652596010790235
A. 기존 newlow,2023-04,0.038519722607286665,Bull,0.030217541666638148,-14.588296075938468
A. 기존 newlow,2023-05,0.02027057933137156,Bull,-0.0049823397074086895,-14.588296075938468
A. 기존 newlow,2023-06,0.010725396491735425,Bull,0.02663517558449069,-14.588296075938468
A. 기존 newlow,2023-07,0.007695319395023274,Bull,-0.02898679482832678,-14.588296075938468
A. 기존 newlow,2023-08,0.005438692658035123,Bull,-0.03567696310446833,-12.42811367563088
A. 기존 newlow,2023-09,0.011726055270345204,Bull,-0.07589239775626777,-8.761303280623856
A. 기존 newlow,2023-10,0.5058587436449955,Bull,0.11295047385245627,-8.761303280623856
A. 기존 newlow,2023-11,0.26084308948187296,Bull,0.047327914512986125,-8.761303280623856
A. 기존 newlow,2023-12,0.13132076206168833,Bull,-0.0595756152499437,-8.761303280623856
A. 기존 newlow,2024-01,0.06893158207434001,Bull,0.05817572230802637,-6.271472847747561
A. 기존 newlow,2024-02,0.03556322841309125,Bull,0.039460849828057754,-15.556748011689637
