signal,lam,rec,lead,lift,disc,fp,bear_ratio,sb_mean,sb_max,sb_gt05,sb_bear
production,0.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.17867502847604702,0.5628784934364117,3,0
slope,0.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.17867502847604702,0.5628784934364117,3,0
slope,0.4,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18073549795025176,0.5652656404691316,3,0
slope,0.8,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18393351491378387,0.5686178814624234,3,0
slope,1.2,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18897738114606247,0.573796422573597,3,0
slope,2.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.20946608002050743,0.5948121519039046,3,0
slope,4.0,0.14285714285714285,3.0,1.0614478114478114,1.5336447595830993,23,0.3711340206185567,0.4147658141691619,0.7914157933342636,5,4
slope,8.0,0.5714285714285714,0.25,1.1882656350741456,1.8404461756590127,28,0.4845360824742268,0.8296227181863595,0.998975452543017,13,13
slope,16.0,0.42857142857142855,-1.6666666666666667,1.0537449971412234,1.4092554954005632,34,0.5463917525773195,0.9281414256431235,0.9999312851409601,14,13
bread6,0.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.17867502847604702,0.5628784934364117,3,0
bread6,0.4,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.17937702538285585,0.5648706477327025,3,0
bread6,0.8,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.1805640534317024,0.5673209963120892,3,0
bread6,1.2,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18244250724218486,0.5706774422979729,3,0
bread6,2.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18952266253500508,0.5825297487930498,3,0
bread6,4.0,0.14285714285714285,3.0,1.157943067033976,2.076075168309929,20,0.3402061855670103,0.24869160010135793,0.6883487474034788,4,1
bread6,8.0,0.2857142857142857,-2.0,0.9352617079889807,0.9013132342535073,30,0.4536082474226804,0.5263652240068533,0.9512751829294637,7,8
bread6,16.0,0.5714285714285714,-0.75,0.7698412698412699,-0.05064278134708999,31,0.4329896907216495,0.786361351806753,0.999524962027716,11,10
negrun,0.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.17867502847604702,0.5628784934364117,3,0
negrun,0.4,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18271933210855304,0.5684609854495587,3,0
negrun,0.8,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.1915724977461965,0.5804114801389533,3,0
negrun,1.2,0.14285714285714285,3.0,1.1941287878787878,2.4275173628855633,19,0.32989690721649484,0.21066721936950647,0.6082273810865085,3,1
negrun,2.0,0.14285714285714285,3.0,1.123885918003565,2.038987251246045,21,0.35051546391752575,0.3093027957733684,0.7664150529689249,5,3
negrun,4.0,0.5714285714285714,-1.25,1.1305361305361306,2.404589989603185,24,0.4020618556701031,0.713785402438131,0.9944277417163567,10,9
negrun,8.0,0.8571428571428571,-0.3333333333333333,1.2988019732205778,3.1111611673974764,24,0.44329896907216493,0.9207518363018335,0.9999112674272242,14,13
negrun,16.0,0.7142857142857143,-1.6,1.1882656350741456,2.8269560568466527,28,0.4845360824742268,0.9287426853164206,0.9999322965200133,14,13
ddpeak,0.0,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.17867502847604702,0.5628784934364117,3,0
ddpeak,0.4,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.18162532025119857,0.5657968306808508,3,0
ddpeak,0.8,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.1871647038384647,0.5704976192385558,3,0
ddpeak,1.2,0.14285714285714285,3.0,1.2326490713587488,2.9656649702354105,18,0.31958762886597936,0.19807623461605253,0.5787968103983187,3,0
ddpeak,2.0,0.14285714285714285,3.0,1.1941287878787878,2.5129387447147664,19,0.32989690721649484,0.2596596010314899,0.6166506690154359,3,1
ddpeak,4.0,0.2857142857142857,0.0,1.1897546897546898,2.6901126118157226,25,0.4329896907216495,0.7004097233856024,0.8879930550606846,13,11
ddpeak,8.0,0.7142857142857143,-0.4,1.1757575757575758,2.1198493272866212,27,0.4639175257731959,0.928704358581146,0.9996228798009501,14,13
ddpeak,16.0,0.5714285714285714,-1.75,1.1882656350741456,1.9474947058887366,28,0.4845360824742268,0.9648066469434229,0.9999630630931946,14,14
