strategy,cagr,sharpe,mdd,calmar,avg_exp
KOSPI200 (KODEX 200),0.18239651070765417,0.6188985712375856,-0.34179965535326295,0.5336357361716484,1.0
FCF불 단독(BM),0.1913046317636411,0.6491572285819122,-0.4365006001231143,0.43826888602142566,1.0
A: 20일 실현변동성,0.18983578175307314,0.7690574113754001,-0.3294335901579547,0.5762490147469537,0.637
B: 60일 하방변동성,0.20137152519627421,0.7684017096405478,-0.3294335901579547,0.6112659158397353,0.657
pbear만 (vol 無),0.20445372441635135,0.7704615105819016,-0.34296146470917854,0.5961419735296565,0.6775
production (hsmm_final),0.20125715302430236,0.7679812764205203,-0.3294335901579547,0.6109187376059766,0.657
t-emission ν=4 (seed 0),0.18728996846336177,0.7940817862821653,-0.16502190381490256,1.134940054221143,0.4135000000000001
t-emission ν=4 (seed 1),0.18728996846336177,0.7940817862821653,-0.16502190381490256,1.134940054221143,0.4135000000000001
t-emission ν=4 (seed 7),0.18728996846336177,0.7940817862821653,-0.16502190381490256,1.134940054221143,0.4135000000000001
t-emission ν=4 (seed 42),0.1573227791886218,0.8270043815921672,-0.12340429667809416,1.2748565765015911,0.4160000000000002
t-emission ν=4 (seed 123),0.1573227791886218,0.8270043815921672,-0.12340429667809416,1.2748565765015911,0.4160000000000002
production × 0.63  (vs seed 0),0.13938300267785775,0.7679812764186565,-0.20686049605122425,0.6738019357903055,0.41350000000000015
t-emission ν=4 seed 0,0.18728996846336177,0.7940817862821653,-0.16502190381490256,1.134940054221143,0.4135000000000001
production × 0.63  (vs seed 42),0.14003962738911535,0.7679812764186869,-0.20820034337093563,0.6726195794001011,0.4160000000000002
t-emission ν=4 seed 42,0.1573227791886218,0.8270043815921672,-0.12340429667809416,1.2748565765015911,0.4160000000000002
