kind,name,months,L1,L2,ratio,run_max,win_mean,win_std,label
crisis,2008 금융위기,9,3.7647127372676845,1.215053342101122,0.32274795632427755,34,1.4240822305883205,1.9332985348506015,지속형 하락
crisis,2011 유럽,5,-0.4903733090832473,-0.6240568017153139,1.2726157605967336,1,1.020820462116093,2.4211839840708445,짧은 crash
crisis,2015 차이나,4,-0.37672857612332783,1.0251989141319062,-2.72131974877396,1,-1.3260122515970338,0.9146038699614114,짧은 crash
crisis,2018 하락,8,0.057382616877861795,1.0994349698031143,19.159721700096885,3,-1.209394810153069,1.1522577118889923,짧은 crash
crisis,2020 코로나,4,3.0364062412959067,2.8153960505041953,0.9272132339257125,4,-0.7371558420700906,1.3203011685015968,중간
crisis,2022 slow bear,14,2.140133793560208,0.7405098110460544,0.3460109892541734,35,0.7484741957912646,1.8378102031842,지속형 하락
episode,2006-05~2009-04,36,2.909608650405482,1.4356549154200309,0.49341856170930704,36,0.7930331981547538,1.5217961123672277,
episode,2009-06~2009-08,3,0.2940097939252067,-0.6748223566601067,-2.2952376778025805,3,1.6477382057361243,2.005606708226957,
episode,2011-09~2011-09,1,-0.21769335791655053,-0.5274805103112081,2.4230436581046715,1,1.0584105454873205,2.419243702717096,
episode,2011-11~2011-11,1,0.4528708810696014,-0.2219802092588925,-0.4901622483093068,1,0.989881217670461,2.4191811430926777,
episode,2012-05~2012-05,1,0.39474138752172405,-0.11231603486211739,-0.2845306785976077,1,0.6637767469379786,2.3953423893054504,
episode,2013-05~2013-07,3,-0.02094222096501693,0.15770895457395703,-7.530669972272903,3,-0.3288508563488181,1.9724866829691523,
episode,2014-11~2014-11,1,0.9432973891327356,2.5317512725644216,2.6839375383961412,1,-1.300631290962271,0.8863148216334736,
episode,2015-07~2015-07,1,0.3146796121300146,1.8150609146044376,5.767964763648298,1,-1.3418104581741426,0.9126360747237515,
episode,2015-09~2015-09,1,0.29224332136659226,1.6810697298512778,5.752294772692276,1,-1.2807722107701154,0.9357229521911626,
episode,2016-01~2016-02,2,1.5912814670410698,2.742125437734933,1.72321835861874,2,-1.156614944284791,0.9969439457935629,
episode,2016-06~2016-06,1,-0.02927986208877445,0.9818538690857563,-33.53341850138657,1,-1.0355093286028711,1.0248260939982683,
episode,2016-12~2016-12,1,0.44229734775217544,1.4368050658306117,3.2485048195126662,1,-1.0558130727605954,1.0426678292715468,
episode,2018-06~2018-08,3,0.4432222626414924,1.5022195935683584,3.3893143918708195,3,-1.2828178265830426,1.150083878342136,
episode,2018-10~2018-12,3,0.07614275517309825,1.0678512167906042,14.024331196881661,3,-1.1588387278865744,1.154090060127179,
episode,2019-02~2019-05,4,0.4003529373532258,1.211369958575812,3.025755141411732,4,-1.0139395840903525,1.1672596222855698,
episode,2019-09~2019-09,1,0.29543581561227183,1.0065703843985738,3.4070695941604816,1,-0.8617098233628238,1.1495923741685685,
episode,2020-01~2022-11,35,2.3395815276104877,1.3308508134998593,0.5688413922720243,35,0.09107292139235361,1.752339422531554,
episode,2023-02~2023-06,5,0.721144444525571,-0.36474497776547243,-0.5057862963992354,5,1.2980666338011446,1.5861865681714584,
episode,2023-08~2023-10,3,0.25445950914615034,-0.6660772036318083,-2.6176156900831042,3,1.3096965303543089,1.5820567657652596,
episode,2024-12~2025-02,3,0.6048415867100551,-0.18594095101392963,-0.3074209100358451,3,0.9787036956979693,2.0119924707932566,
episode,2025-04~2025-04,1,-0.01456976508758423,-0.4255987735165006,29.211093724440268,1,0.8072384632203136,1.9309459496138262,
episode,2025-07~2026-07,13,1.6812595380864512,0.5488984988099603,0.326480526281324,13,0.6285193363544709,1.8679216220171342,
