variant,ym,pbear,regime,ret,dd6,ma200_slope_60
A. production,2017-01,,Bull,0.011641600247119799,-2.5032266220640476,0.013568706108703754
A. production,2017-02,,Bull,0.03279249364769088,-5.37705297443093,0.013258379527072872
A. production,2017-03,,Bull,0.020928309182937088,-5.37705297443093,0.016612001243730967
A. production,2017-04,,Bull,0.06435901460809901,-5.37705297443093,0.02200072310699075
A. production,2017-05,,Bull,0.018919032481777176,-5.37705297443093,0.031444378486326086
A. production,2017-06,,Bull,0.004565585480605261,-5.37705297443093,0.03971059408738209
A. production,2017-07,,Bull,-0.016448102423411104,-5.106779372261084,0.04822215525446483
A. production,2017-08,,Bull,0.01323635851219862,-9.022432045446305,0.05068979423762188
A. production,2017-09,,Bull,0.05385741417322154,-9.022432045446305,0.05274618723971258
A. production,2017-10,,Bull,-0.01864914649028071,-9.022432045446305,0.05466670098346449
A. production,2017-11,,Bull,-0.003585944964967669,-9.022432045446305,0.059378073466289205
A. production,2017-12,,Bull,0.04010957332950493,-10.92876031296578,0.05807982297410352
A. production,2018-01,0.9929935303714662,Bear,-0.05419911303226155,-12.107655925343652,0.05392766578677799
A. production,2018-02,0.9962532369553476,Bear,0.0076173247545101574,-10.916038402810212,0.04567904729066452
A. production,2018-03,0.9981235886117799,Bear,0.028427655980584055,-10.916038402810212,0.03445361509616962
A. production,2018-04,0.9989895216611533,Bear,-0.03672203696866427,-20.646179033749025,0.02088012370566461
A. production,2018-05,0.9992716403163012,Bear,-0.03998337875727398,-19.207231269225268,0.01143063812690337
A. production,2018-06,0.5014972343715908,Bear,-0.013270915469926647,-15.257506834948876,0.006374891931971716
A. production,2018-07,0.7507485529567293,Bear,0.012033439753823538,-15.357280452694022,-0.001304864434337527
A. production,2018-08,0.8753742546530872,Bear,0.008691876707128454,-15.357280452694022,-0.012619844839963146
A. production,2018-09,0.9376870426358723,Bear,-0.1337476549186405,-14.910784013904033,-0.02068893660059612
A. production,2018-10,0.9395696012904469,Bear,0.03309380642103732,-6.483795664071157,-0.030657327159418157
A. production,2018-11,0.969784798767358,Bear,-0.026620787987619576,-10.019876469916355,-0.041562655916410174
A. production,2018-12,0.984892398043431,Bear,0.0802581308836019,-10.019876469916355,-0.047093538534574764
A. production,2019-01,0.963464897203322,Bear,-0.004267934704496712,-10.019876469916355,-0.04825651590077373
A. production,2019-02,0.9295975835654119,Bear,-0.02494717277311076,-15.072285771240034,-0.04205486293636174
A. production,2019-03,0.9024533744031282,Bear,0.02939274540771497,-15.072285771240034,-0.040299416829879475
A. production,2019-04,0.6460374945900216,Bear,-0.07344836888932471,-13.695177451700369,-0.031050459275316578
A. production,2019-05,0.7244047679411173,Bear,0.04353156003126646,-10.52373122249326,-0.02863709794709457
A. production,2019-06,0.6449753367451452,Bear,-0.049783660401832464,-10.368350250142655,-0.023894183861519647
A. production,2019-07,0.8009562002287768,Bear,-0.02803586396813429,-6.538316914075426,-0.028423496589400687
A. production,2019-08,0.8979169490992944,Bear,0.04840964120898228,-12.36034800901422,-0.025338344372677568
A. production,2019-09,0.9313299465193172,Bear,0.009902780425627533,-35.70889779916474,-0.019939141791463055
A. production,2019-10,0.9407108739172894,Bear,0.002150239268313925,-35.70889779916474,-0.008517614070351343
A. production,2019-11,0.9393034529325461,Bear,0.05254409231498869,-35.70889779916474,-0.0015555817325110244
A. production,2019-12,0.8311549139594184,Bear,-0.035792414195787936,-35.70889779916474,-0.002095461650410746
A. production,2020-01,0.91557745525086,Bear,-0.062293240424381,-35.03091217438568,-0.0016405949231153016
A. production,2020-02,0.957788726635277,Bear,-0.11694455185185326,-30.09792506344231,-0.0028993886232172583
A. production,2020-03,0.9788943553602565,Bear,0.10994850358748165,-7.508801311518287,-0.015270831867671752
