feature,separation,kurt_v,autocorr,slowbear_z,covid_z,risk_gap,corr_base,base,pass_all
breadth,2.4543586156796118,-0.28508904678392133,0.8495765777120546,-0.9441799468440764,-1.3553081516069199,-0.18229073774326338,0.6592771347000254,True,False
newlow,1.7457296241016287,18.694935764354188,0.13883551404063327,0.34621852342101933,2.9434493245504028,0.3515241280102115,0.359144264528782,True,False
trend,1.8842990187837307,2.688484636338429,0.8578705126892121,-0.9903113969532384,-0.7447037226504564,-0.08985814704711344,0.6592771347000255,True,False
term_10_3,1.8232050589147126,0.5170653525409916,0.9378965422584127,-0.493295416247203,0.040925000525903324,-0.0269450488476854,0.6118141776871152,False,False
term_3_1,2.260982428389002,0.00469201812706288,0.8606114241630622,1.1876896024955648,-0.6510349832177585,0.3505079737595911,0.20269604057733986,False,True
credit_cp_cd,1.74467727092663,5.801106649186741,0.7730771682614732,0.27616902530741416,0.7699551487700758,-0.30437534828627927,0.11495997478461398,False,False
credit_cp_tb,1.9540101471487714,-0.006192015565913422,0.8496697519246578,-0.7628441704807409,0.837176561803723,-0.3568754164372295,0.12922784983862254,False,True
bank_cd_tb,1.4686542374298317,1.7385799871450214,0.7594030239877729,-0.7798906280611702,0.4475261617310784,-0.13894789226330895,0.06648777683779403,False,False
term_10_3_d3m,0.5194409685075722,2.2279666483733385,0.6834617046585766,-0.8394112629686185,0.32403861404057316,-0.3770064614488192,0.20331196896142295,False,False
term_3_1_d3m,2.0431747371147053,4.274760731037794,0.5298202446737865,-0.41816790525753783,-0.08229410747286073,0.27190684967329004,0.2730643553573787,False,False
credit_cp_cd_d3m,0.1751339593240394,7.900204551262602,0.612121639528238,0.694378207222864,1.141403853547157,0.0670824657480245,0.2234995919458433,False,False
credit_cp_tb_d3m,9.289280038400763,9.518401281065431,0.5921682806499912,0.7577152420779927,0.7954415483343908,-0.14400534886118893,0.3386145890961056,False,False
bank_cd_tb_d3m,0.06614315763491758,2.272978932026944,0.4498425303662348,0.40002300949128083,0.20348644568685384,-0.16030121871254616,0.2934930723447602,False,False
