총 235건

기간시작          손절종목              대체종목              진입일               손절수익률      비중
2021-05-03    풍산                녹십자홀딩스            2021-05-24        +5.4%    1.1%
2021-05-03    한화                세방전지              2021-05-04        +2.5%    2.4%
2021-05-03    삼양홀딩스             태광산업              2021-05-14       -13.4%    1.3%
2022-05-02    롯데케미칼             대한유화              2022-05-03        -0.5%    3.8%
2022-05-02    LG디스플레이           동원산업              2022-05-06        +2.1%    3.4%
2022-05-02    금호석유화학            기아                2022-05-03        +0.0%    2.6%
2022-05-02    POSCO홀딩스          SK                2022-05-03        -1.4%   14.4%
2022-05-02    현대제철              S-Oil             2022-05-03        -1.2%    3.3%
2022-05-02    동국홀딩스             KT                2022-05-03        -1.5%    1.0%
2022-05-02    현대백화점             HD현대              2022-05-03        -0.9%    1.0%
2022-05-02    풍산                GS                2022-05-03        -1.1%    0.5%
2022-05-02    에스디바이오센서          CJ                2022-05-03        +0.1%    2.7%
2022-05-02    효성티앤씨             영원무역              2022-05-03        +0.0%    1.0%
2022-05-02    DL                한국앤컴퍼니            2022-05-03        +5.1%    0.7%
2022-05-02    한국타이어앤테크놀로지       오리온홀딩스            2022-05-03        -2.0%    2.5%
2022-05-02    두산밥캣              TKG휴켐스            2022-05-19       -10.7%    2.3%
2022-05-02    한화                현대모비스             2022-05-03        -0.3%    1.3%
2022-06-02    GS                DL                2022-06-23       -11.9%    2.9%
2022-06-02    효성                대한유화              2022-06-22        -6.6%    1.2%
2022-06-02    동국홀딩스             한섬                2022-06-15       -15.3%    1.2%
2022-06-02    F&F홀딩스            오리온홀딩스            2022-06-17       -15.0%    0.6%
2022-06-02    HMM               현대모비스             2022-06-13        -8.3%   10.4%
2022-06-02    롯데정밀화학            LG디스플레이           2022-06-20       -13.0%    1.5%
2022-06-02    SK가스              티와이홀딩스            2022-06-22       -12.2%    0.8%
2022-06-02    대한해운              동원산업              2022-06-20       -15.8%    0.7%
2022-06-02    현대제철              SK하이닉스            2022-06-20       -18.2%    3.8%
2022-06-02    금호석유화학            기아                2022-06-23       -14.4%    3.4%
2022-06-02    팬오션               SK이노베이션           2022-06-13       -11.0%    2.8%
2022-06-02    SK이노베이션           에스디바이오센서          2022-06-23       -16.2%    2.8%
2022-06-02    신세계               한국타이어앤테크놀로지       2022-06-20       -10.5%    1.7%
2022-06-02    SK케미칼             이노션               2022-06-13        -6.9%    1.5%
2022-06-02    KG스틸              SBS               2022-06-23       -15.3%    1.2%
2022-06-02    아이에스동서            CJ                2022-06-16       -16.2%    1.1%
2022-06-02    LX인터내셔널           현대위아              2022-06-22       -10.3%    1.0%
2022-06-02    KCC글라스            S-Oil             2022-06-14        -8.7%    0.6%
2022-06-02    S-Oil             KT                2022-07-01       -15.7%    0.6%
2022-06-02    POSCO홀딩스          LG유플러스            2022-06-22       -15.8%   17.4%
2022-06-02    SK                HD현대              2022-06-22       -12.8%   12.8%
2022-06-02    대한항공              이마트               2022-06-22       -14.0%    7.0%
2022-06-02    풍산                영원무역              2022-06-21       -13.7%    0.6%
2022-06-02    DB하이텍             NHN               2022-06-20       -19.2%    2.1%
2022-06-02    포스코인터내셔널          TKG휴켐스            2022-06-20       -11.2%    2.0%
2022-06-02    효성티앤씨             현대지에프홀딩스          2022-06-22       -19.1%    1.2%
2022-07-01    금호석유화학            DL                2022-07-15       -15.4%    3.1%
2022-07-01    현대백화점             효성티앤씨             2022-07-06        -4.7%    1.2%
2022-07-01    롯데케미칼             오리온홀딩스            2022-07-11        -6.2%    4.6%
