ym,logB_bull,logB_bear,lldiff,raw_dur,raw_plain,E_d_bear,frac_long,breadth,newlow,trend,d_breadth,d_newlow,diverg,kospi_ret,fcf_next,pb_FULL,exp_FULL,pb_NO_DURATION,exp_NO_DURATION,pb_NO_EMA,exp_NO_EMA,pb_NO_BOTH,exp_NO_BOTH
2017-01,,,,,,,,0.0,0.0,0.02670350466294721,0.0,0.0,0.0,0.011641600247119799,,,1.0,,1.0,,1.0,,1.0
2017-02,,,,,,,,0.0,0.0,0.03408083399220426,0.0,0.0,0.0,0.03279249364769088,,,1.0,,1.0,,1.0,,1.0
2017-03,,,,,,,,0.0,0.038718929254302106,0.057676754659490403,0.0,0.0,0.0,0.020928309182937088,,,1.0,,1.0,,1.0,,1.0
2017-04,,,,,,,,0.0,0.04136947218259629,0.06899814731019348,0.0,0.04136947218259629,0.0,0.06435901460809901,,,1.0,,1.0,,1.0,,1.0
2017-05,,,,,,,,0.6354418155480445,0.017975402081362345,0.11816255622471675,0.6354418155480445,0.017975402081362345,0.0,0.018919032481777176,,,1.0,,1.0,,1.0,,1.0
2017-06,,,,,,,,0.5879518072289157,0.03144063819802909,0.12056172260447018,0.5879518072289157,-0.007278291056273013,0.0,0.004565585480605261,,,1.0,,1.0,,1.0,,1.0
2017-07,,,,,,,,0.46105769230769234,0.1223155929038282,0.10701810246205311,0.46105769230769234,0.0809461207212319,0.0,-0.016448102423411104,,,1.0,,1.0,,1.0,,1.0
2017-08,,,,,,,,0.4419493549928333,0.03005085529357374,0.07237232580256894,-0.1934924605552112,0.012075453212211394,0.0,0.01323635851219862,,,1.0,,1.0,,1.0,,1.0
2017-09,,,,,,,,0.3412434741338396,0.019788311090658078,0.06792414288340817,-0.24670833309507612,-0.011652327107371015,0.0,0.05385741417322154,,,1.0,,1.0,,1.0,,1.0
2017-10,,,,,,,,0.39442607463391594,0.022914757103574702,0.1044723427561803,-0.0666316176737764,-0.0994008358002535,0.0,-0.01864914649028071,,,1.0,,1.0,,1.0,,1.0
2017-11,,,,,,,,0.4514312529328954,0.028271773825809393,0.06323498219499395,0.0094818979400621,-0.0017790814677643464,0.0,-0.003585944964967669,,,1.0,,1.0,,1.0,,1.0
2017-12,,,,,,,,0.412861136999068,0.028519692168401993,0.0449518288065326,0.07161766286522842,0.008731381077743915,-1.3253057671922976,0.04010957332950493,,,1.0,,1.0,,1.0,,1.0
2018-01,-26.546710539887105,-7.865668990575461,-18.681041549311644,0.9999999823010468,0.9999999911430076,5.999999372142269,0.9999997808370602,0.5963938973647711,0.0036150022593764122,0.06663073151421918,0.20196782273085517,-0.01929975484419829,-1.2928282535436508,-0.05419911303226155,,0.9999999823010468,0.2,0.9999999911430076,0.2,0.9999999823010468,0.2,0.9999999911430076,0.2
2018-02,-83.83819464445713,-20.363843749335935,-63.4743508951212,0.9999999989151174,0.9999999989550704,6.999999377941413,0.9999998680602539,0.48525345622119814,0.0310391363022942,0.00039833410371750775,0.033822203288302766,0.0027673624764848054,-2.508059519688241,0.0076173247545101574,,0.9999999906080821,0.2,0.999999995049039,0.2,0.9999999989151174,0.2,0.9999999989550704,0.2
