ym,pbear_BASE,reg_BASE,pbear_EMIS-aug,reg_EMIS-aug,pbear_TRAN-aug,reg_TRAN-aug
2017-01,,Bull,,Bull,,Bull
2017-02,,Bull,,Bull,,Bull
2017-03,,Bull,,Bull,,Bull
2017-04,,Bull,,Bull,,Bull
2017-05,,Bull,,Bull,,Bull
2017-06,,Bull,,Bull,,Bull
2017-07,,Bull,,Bull,,Bull
2017-08,,Bull,,Bull,,Bull
2017-09,,Bull,,Bull,,Bull
2017-10,,Bull,,Bull,,Bull
2017-11,,Bull,,Bull,,Bull
2017-12,,Bull,,Bull,,Bull
2018-01,0.9289493588634125,Bear,0.9999999823010468,Bear,0.9339697193814365,Bear
2018-02,0.9644736677375636,Bear,0.9999999906080821,Bear,0.9669804100810568,Bear
2018-03,0.9822364444050065,Bear,0.999999994677871,Bear,0.9834895248075768,Bear
2018-04,0.9911010056480646,Bear,0.9999999967840181,Bear,0.9917248031140968,Bear
2018-05,0.9955497533909923,Bear,0.9999999978510659,Bear,0.9958607125740822,Bear
2018-06,0.9977719082540423,Bear,0.9999999984206656,Bear,0.9979242357405506,Bear
2018-07,0.998885953616586,Bear,0.9999999987000916,Bear,0.998962117349466,Bear
2018-08,0.9994429762587289,Bear,0.9999999988279406,Bear,0.9994810580986029,Bear
2018-09,0.9997214849365497,Bear,0.9999999988668398,Bear,0.9997405239032502,Bear
2018-10,0.9998607419550352,Bear,0.9999999989201795,Bear,0.9998702614388313,Bear
2018-11,0.9999303704520834,Bear,0.999999998934651,Bear,0.9999351301969743,Bear
2018-12,0.9999651846986457,Bear,0.9999999989399226,Bear,0.9999675645741765,Bear
2019-01,0.9850511067690684,Bear,0.9999999756399662,Bear,0.9748385201592182,Bear
2019-02,0.9712405918412345,Bear,0.9999997208023429,Bear,0.9554704562311372,Bear
2019-03,0.9521538490237365,Bear,0.9999979846410103,Bear,0.9272339870167613,Bear
2019-04,0.6491671975281812,Bear,0.9998680935092156,Bear,0.5810482117752758,Bear
2019-05,0.7185378134399236,Bear,0.9999340458831634,Bear,0.6582232263382894,Bear
2019-06,0.5435081516395459,Bear,0.9999615622606587,Bear,0.5521873551187108,Bear
2019-07,0.6899790396027159,Bear,0.999980780470572,Bear,0.7354700723572221,Bear
2019-08,0.8383727373179519,Bear,0.9999903896365152,Bear,0.8646182143044063,Bear
2019-09,0.8995383450427517,Bear,0.9999951942362815,Bear,0.920958508145016,Bear
2019-10,0.8917332979992989,Bear,0.9999975868425994,Bear,0.9188374938871727,Bear
2019-11,0.8537313260700237,Bear,0.9999973111992138,Bear,0.9183208253654793,Bear
2019-12,0.5578953571339431,Bear,0.9999732184148213,Bear,0.6878580398096811,Bear
2020-01,0.7735159847631945,Bear,0.49999308058957403,Bear,0.8421018267739606,Bear
2020-02,0.8867579918675967,Bear,0.24999654029478702,Bull,0.9210509128826692,Bear
2020-03,0.9433789257456698,Bear,0.6249982625103936,Bear,0.9605252851478701,Bear
2020-04,0.9714786261007564,Bear,0.8124991093102283,Bear,0.9794055891041389,Bear
2020-05,0.9790393474739116,Bear,0.9061051231232773,Bear,0.9220874164603731,Bear
2020-06,0.9321646600799822,Bear,0.9509410211187441,Bear,0.7458800294426515,Bear
2020-07,0.5233802984959699,Bear,0.950359064453985,Bear,0.3854030976082387,Bull
2020-08,0.2634742958481374,Bull,0.95242230674434,Bear,0.1938341884665474,Bull
2020-09,0.13273133402072257,Bull,0.9604045879291926,Bear,0.09761282108534446,Bull
2020-10,0.0681779730698475,Bull,0.9793547145258792,Bear,0.0511582740359099,Bull
2020-11,0.034150515311933076,Bull,0.6466781506782673,Bear,0.0256619126580359,Bull
2020-12,0.017109230568900596,Bull,0.3258618444693014,Bull,0.012896825787647842,Bull
2021-01,0.008961759844940341,Bull,0.16655465756218138,Bull,0.007062926035037529,Bull
2021-02,0.0055239673444262985,Bull,0.09125553494310824,Bull,0.005302949224775019,Bull
2021-03,0.003988868743644399,Bull,0.13120570568652648,Bull,0.003780493357720762,Bull
2021-04,0.0027096533387592613,Bull,0.25135994448450527,Bull,0.002553703156741867,Bull
2021-05,0.00246402694264614,Bull,0.4660471494750856,Bull,0.002052074048984266,Bull
2021-06,0.0024363764140658516,Bull,0.6734290431463716,Bear,0.001881683106264191,Bull
2021-07,0.015424694566442724,Bull,0.8339139503414563,Bear,0.009091082812553913,Bull
2021-08,0.023564254280401254,Bull,0.9166796938490434,Bear,0.017718938606960298,Bull
2021-09,0.1118041247482812,Bull,0.9581998034074022,Bear,0.13751054996137688,Bull
2021-10,0.13345147076238884,Bull,0.9790760709443845,Bear,0.1687467654839544,Bull
2021-11,0.5667257339335989,Bull,0.48953803547237323,Bear,0.584373381953285,Bull
2021-12,0.3567067424357359,Bull,0.7421092763799292,Bear,0.3709579342728429,Bull
2022-01,0.17927639393155198,Bull,0.3729415275963006,Bull,0.1863568296963488,Bull
2022-02,0.09031226540255721,Bull,0.6864707548389819,Bear,0.093493383794548,Bull
2022-03,0.046152764426896246,Bull,0.3485674740013403,Bull,0.04745862755252492,Bull
2022-04,0.025872935587828612,Bull,0.1887263785495988,Bull,0.02463946501493604,Bull
2022-05,0.013497959513955495,Bull,0.09816377927904471,Bull,0.012648666538571168,Bull
2022-06,0.02530653645127401,Bull,0.08047867950777665,Bull,0.020892358054141042,Bull
2022-07,0.013991558405328897,Bull,0.041391361361416364,Bull,0.01223596226229932,Bull
2022-08,0.010713389230778409,Bull,0.023640244520437847,Bull,0.009399899431396313,Bull
2022-09,0.5053566924887338,Bull,0.5118201205226682,Bull,0.5046999475854707,Bull
2022-10,0.29350858736899255,Bull,0.31784499058352766,Bull,0.29591655956131463,Bull
2022-11,0.15014794844006246,Bull,0.1614822093927978,Bull,0.1544600884328094,Bull
2022-12,0.5750739118496896,Bull,0.5807410816182724,Bull,0.5772300026171912,Bull
2023-01,0.2896470511582431,Bull,0.2904654725267564,Bull,0.29157207081966213,Bull
2023-02,0.14545208022265058,Bull,0.14529188447934546,Bull,0.14631137662082508,Bull
2023-03,0.07335078325147938,Bull,0.5266448492192589,Bull,0.07340521249579528,Bull
2023-04,0.03859735440226241,Bull,0.2640360069023808,Bull,0.03864280139492826,Bull
2023-05,0.0195460726784028,Bull,0.13205472939770696,Bull,0.019607249559333257,Bull
2023-06,0.010103375717028892,Bull,0.06607272310424193,Bull,0.010157086846489858,Bull
2023-07,0.005544974050674872,Bull,0.033086249155750855,Bull,0.006141509406523504,Bull
2023-08,0.0036033663780107245,Bull,0.016713027425048176,Bull,0.004330403316736187,Bull
2023-09,0.01625600123646529,Bull,0.010006473624584643,Bull,0.03591493175614764,Bull
2023-10,0.5081279953912871,Bull,0.5050032317796088,Bull,0.5179574641381064,Bull
2023-11,0.25961154352861343,Bull,0.25306916733661383,Bull,0.2691928174298639,Bull
2023-12,0.13014924751849438,Bull,0.12659660868086134,Bull,0.1350146051952919,Bull
2024-01,0.06909558668683145,Bull,0.5625039377752804,Bull,0.0700279550230564,Bull
2024-02,0.034927021198756424,Bull,0.2850720737175663,Bull,0.03552553471275178,Bull
2024-03,0.017610591641004338,Bull,0.1428457998370577,Bull,0.018020211082901427,Bull
2024-04,0.00886207799346543,Bull,0.07235395500587795,Bull,0.009072224264492819,Bull
2024-05,0.005319135836094391,Bull,0.037555258649153496,Bull,0.005587572534336342,Bull
2024-06,0.004016685078693575,Bull,0.01940866258594744,Bull,0.005826734909810982,Bull
2024-07,0.016871394213926246,Bull,0.018325802633025908,Bull,0.03680707777193067,Bull
2024-08,0.008745396275121317,Bull,0.009885268051272038,Bull,0.01893143574616879,Bull
2024-09,0.004776627192277825,Bull,0.005907681757067511,Bull,0.009970656834629532,Bull
2024-10,0.003745367992093451,Bull,0.0062415233166089115,Bull,0.006228440083821609,Bull
2024-11,0.5012667127364319,Bull,0.49738317729424036,Bull,0.5026052416034968,Bull
2024-12,0.2655185798387294,Bull,0.25028760975496467,Bull,0.26086195936891265,Bull
2025-01,0.13331019067302854,Bull,0.12907400539595879,Bull,0.13078171351341203,Bull
2025-02,0.06702389536362047,Bull,0.1067424551617508,Bull,0.06552908201151139,Bull
2025-03,0.5335009894549606,Bull,0.20760245042485123,Bull,0.5327583666309075,Bull
2025-04,0.2672828821785026,Bull,0.10707261142095384,Bull,0.26657451943236904,Bull
2025-05,0.13364164050340582,Bull,0.05517566462333782,Bull,0.13328731945176686,Bull
2025-06,0.06682082033792572,Bull,0.04616373506404006,Bull,0.06664365976218978,Bull
2025-07,0.033410410178132975,Bull,0.023132187323455115,Bull,0.03332182988881465,Bull
2025-08,0.016705206146151588,Bull,0.011680643553099971,Bull,0.016660915964342188,Bull
2025-09,0.008352603592956368,Bull,0.005862846715605669,Bull,0.00833045883769006,Bull
2025-10,0.004176311828608223,Bull,0.0029314253132945796,Bull,0.004165273507984891,Bull
