episode,type,peak,trough,dd,DXY_d3,US10Y_d3,KR10Y_d3,VIXmax
닷컴 2000,Slow,2000-01,2001-09,-49.17998154486428,3.092499480112508,-0.05728564943586077,,26.200000762939453
2002 약세,Slow,2002-04,2003-03,-36.403353143878526,-4.403714844466714,-0.4907142775399344,,39.689998626708984
2004 급락,Fast,2004-04,2004-08,-6.869178258599506,1.0515201581030142,0.2134000301361084,,17.190000534057617
GFC 2008,Fast,2007-10,2008-10,-46.09487343138606,-3.9559152753961553,-0.4157142639160156,,26.540000915527344
유럽 2011,Fast,2011-04,2011-09,-19.28105157436486,-0.7731322858019767,-0.5509999990463257,,42.959999084472656
2015-16 둔화,Slow,2015-04,2016-01,-10.112490829676679,0.0947770376366397,0.06914285251072474,,28.43000030517578
2018 긴축,Slow,2018-01,2019-01,-14.089830692280037,0.5704695583642314,0.20614286831447057,0.04114285714285731,19.969999313354492
코로나 2020,Fast,2020-01,2020-03,-17.195293719140526,0.9238070806556401,-0.6926667094230652,-0.20099999999999998,53.540000915527344
2022 긴축,Slow,2021-12,2022-10,-22.972472162810597,3.4739268367570495,0.5937142712729317,0.4681428571428571,33.400001525878906
