ym,breadth,mom,fx3m,VIX,US10Y_d3,KR10Y,ysprd,foreign_b,HYOAS,DXY_d3,hsmm,ai,kret,pair
2021-10,27.874953479717156,2.701068840911158,2.2108009760751335,16.260000228881836,0.31800007820129395,2.575,,-0.10025439,,2.115660861859192,Bull,Bull,-4.43231599852234,Bull/Bull
2021-11,15.415896487985211,8.144396370100292,2.79089053968542,27.190000534057617,0.1409999132156372,2.213,,-0.11724939,,3.829097925778413,Bear,Bull,4.883388649607845,Bear/Bull
2021-12,29.863920559029054,14.150619367026929,-0.00421778453081334,17.329999923706055,0.03600001335144043,2.248,,-0.10832713,,2.052318467020675,Bear,Bull,-10.55563362924995,Bear/Bull
2022-01,16.046681254558717,5.807935303689048,3.091561884515426,27.65999984741211,0.22499990463256836,2.586,,-0.09365919,,3.346784747728626,Bear,Bull,1.3456728231198367,Bear/Bull
2022-02,22.314949201741655,17.180936862564554,0.575270474000722,30.149999618530273,0.3960000276565552,2.675,,-0.08749404,,0.7500794215298923,Bull,Bull,2.1662124120634507,Bull/Bull
2022-03,47.9595521849043,10.828499364757892,1.7270442229809113,20.559999465942383,0.8149999380111694,2.969,,-0.11074539,,2.7594851470430948,Bull,Bull,-2.2700435418731346,Bull/Bull
2022-04,46.32829373650108,7.396478208644185,5.719349239619165,33.400001525878906,1.1050001382827759,3.242,,-0.11926631,,5.849699432277955,Bull,Bull,-0.3395167554811729,Bull/Bull
2022-05,37.64747944225956,8.466810524106583,2.555236064684907,26.190000534057617,0.9790000915527344,3.326,,-0.12609166,,4.476846326805695,Bull,Bear,-13.152389240468931,Bull/Bear
2022-06,13.212250712250711,8.509324893819603,7.182377971902021,28.709999084472656,0.5949997901916504,3.636,,-0.12456539,,6.144180631393326,Bull,Bear,5.095518935436982,Bull/Bear
2022-07,20.24866785079929,11.045192132586102,1.796758966092904,21.329999923706055,-0.24500012397766113,3.127,,-0.13407837,,2.8554802520871725,Bear,Bear,0.838264280160117,Bear/Bear
2022-08,24.23172024019781,9.703171523249132,8.279401281290454,25.8700008392334,0.2199997901916504,3.721,,-0.13250685,,6.809472864071209,Bull,Bear,-12.805568347769302,Bull/Bear
2022-09,9.638976515948125,8.522609712838982,11.063056692059469,31.6200008392334,0.9149999618530273,4.096,,-0.12015385,,6.638770589170084,Bull,Bear,6.407829208823257,Bull/Bear
2022-10,15.328212290502794,20.74769524910819,8.792808449516931,25.8799991607666,1.3360002040863037,4.242,,-0.11197134,,4.979293130550189,Bear,Bear,7.80079932923361,Bear/Bear
2022-11,39.784946236559136,15.219213583869006,-1.2583265928772347,20.579999923706055,0.437999963760376,3.667,,-0.12143655,,-3.4096138298126855,Bear,Bear,-9.550141925688738,Bear/Bear
2022-12,22.620689655172413,-5.101475362902231,-10.897312408132741,21.440000534057617,0.031000137329101562,3.726,,-0.11458502,,-7.384950237118881,Bull,Bear,8.436781614214572,Bull/Bear
2023-01,53.098254022595,10.378871824947023,-13.066495748694052,19.399999618530273,-0.5299999713897705,3.297,,-0.10406268,,-8.307139763589488,Bear,Bull,-0.5043124381363007,Bear/Bull
2023-02,60.400407193756365,-2.7508533862591777,-0.5296648903409973,20.700000762939453,0.21299982070922852,3.753,,-0.09498707,,-1.0193433060576185,Bull,Bull,2.6528796723759074,Bull/Bull
2023-03,57.19108710330858,-12.256496786967165,2.875596301838912,18.700000762939453,-0.38499999046325684,3.34,,-0.1069825,,-0.9756516031567908,Bull,Bull,0.9960159558901616,Bull/Bull
2023-04,46.68684830137908,-7.9200110538235835,8.729962348811826,15.779999732971191,-0.06599998474121094,3.36,,-0.09471988,,-0.2550791086549875,Bull,Bull,3.021754166663815,Bull/Bull
2023-05,53.25067024128687,-2.843926923407647,1.0767967959732783,17.940000534057617,-0.43599987030029297,3.532,,-0.08913127,,-0.6759964702699905,Bull,Bull,-0.49823397074086895,Bull/Bull
2023-06,49.25124792013311,-15.159302709364319,2.0493595286588784,13.59000015258789,0.3250000476837158,3.675,,-0.08789093,4.05,0.39020731396270936,Bull,Bull,2.663517558449069,Bull/Bull
2023-07,38.43098311817279,-4.797500714626279,-5.242816997898936,13.630000114440918,0.5200002193450928,3.761,,-0.09012984,3.79,-0.09807618185465605,Bull,Bull,-2.898679482832678,Bull/Bull
2023-08,38.91076115485564,-9.261132131744665,0.7754163766041877,13.569999694824219,0.40199995040893555,3.821,,-0.09925346,3.85,-0.3845355791126548,Bull,Bull,-3.567696310446833,Bull/Bull
2023-09,24.33224755700326,-2.6041033469463515,3.4178493594854586,18.219999313354492,0.7719998359680176,4.03,,-0.08704531,4.03,3.2223746362120886,Bull,Bull,-7.589239775626777,Bull/Bull
2023-10,13.36137172436105,1.325406573158106,4.578557482278711,18.139999389648438,0.7969999313354492,4.325,,-0.09178835,4.42,3.9672555507398233,Bull,Bull,11.295047385245628,Bull/Bull
2023-11,36.897880539499035,13.834875230336053,-2.738859531319826,12.920000076293945,0.1790003776550293,3.699,,-0.10520177,3.84,-0.7098981954476113,Bear,Bull,4.7327914512986125,Bear/Bull
2023-12,49.56910309607405,1.7459611707157041,-3.938863136250248,12.470000267028809,-0.7230000495910645,3.183,,-0.08689673,3.32,-4.652910329856885,Bull,Bull,-5.95756152499437,Bull/Bull
