ym,kospi,fcf_next,pbear,base_exp,trend,mom3,d_breadth,score_FULL_BASE,final_FULL_BASE,score_TREND_LEVEL,final_TREND_LEVEL,score_TREND_CROSS,final_TREND_CROSS,score_PRICE_MOM,final_PRICE_MOM,score_TREND_PLUS_MOM,final_TREND_PLUS_MOM,score_PRICE_PLUS_THRUST,final_PRICE_PLUS_THRUST
2017-01,0.011641600247119799,,,1.0,0.02670350466294721,0.0,0.0,0.0,1.0,0.5340700932589442,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2017-02,0.03279249364769088,,,1.0,0.03408083399220426,0.0,0.0,0.0,1.0,0.6816166798440851,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2017-03,0.020928309182937088,,,1.0,0.057676754659490403,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2017-04,0.06435901460809901,,,1.0,0.06899814731019348,0.06668208016586141,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.44454720110574275,1.0,0.44454720110574275,1.0,0.0,1.0
2017-05,0.018919032481777176,,,1.0,0.11816255622471675,0.1222676958599953,0.6354418155480445,0.0,1.0,1.0,1.0,0.0,1.0,0.8151179723999687,1.0,0.8151179723999687,1.0,0.8044876826012376,1.0
2017-06,0.004565585480605261,,,1.0,0.12056172260447018,0.10719231780289595,0.5879518072289157,0.0,1.0,1.0,1.0,0.0,1.0,0.7146154520193064,1.0,0.7146154520193064,1.0,0.2364879060222147,1.0
2017-07,-0.016448102423411104,,,1.0,0.10701810246205311,0.0894470150048452,0.46105769230769234,0.0,1.0,1.0,1.0,0.0,1.0,0.5963134333656347,1.0,0.5963134333656347,1.0,0.05706981850756576,1.0
2017-08,0.01323635851219862,,,1.0,0.07237232580256894,0.006735193868496081,-0.1934924605552112,0.0,1.0,1.0,1.0,0.0,1.0,0.04490129245664054,1.0,0.04490129245664054,1.0,0.0,1.0
2017-09,0.05385741417322154,,,1.0,0.06792414288340817,0.001120471110279908,-0.24670833309507612,0.0,1.0,1.0,1.0,0.0,1.0,0.0074698074018660545,1.0,0.0074698074018660545,1.0,0.0,1.0
2017-10,-0.01864914649028071,,,1.0,0.1044723427561803,0.05024325560128018,-0.0666316176737764,0.0,1.0,1.0,1.0,0.0,1.0,0.3349550373418679,1.0,0.3349550373418679,1.0,0.0,1.0
2017-11,-0.003585944964967669,,,1.0,0.06323498219499395,0.04789296611253335,0.0094818979400621,0.0,1.0,1.0,1.0,0.0,1.0,0.3192864407502224,1.0,0.3192864407502224,1.0,0.0,1.0
2017-12,0.04010957332950493,,,1.0,0.0449518288065326,0.0304952747057452,0.07161766286522842,0.0,1.0,0.8990365761306519,1.0,0.0,1.0,0.20330183137163468,1.0,0.20330183137163468,1.0,0.0,1.0
2018-01,-0.05419911303226155,,0.9999999823010468,0.2,0.06663073151421918,0.017052198976216015,0.20196782273085517,0.0,0.2,1.0,0.6,0.0,0.2,0.11368132650810678,0.2,0.11368132650810678,0.2,0.40504215980118446,0.24302529588071067
2018-02,0.0076173247545101574,,0.9999999906080821,0.2,0.00039833410371750775,-0.019791068154742297,0.033822203288302766,0.0,0.2,0.007966682074350154,0.3,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-03,0.028427655980584055,0.0435922051519012,0.999999994677871,0.2,0.0014204112093784366,-0.00877000217377566,0.05026300409117479,0.0,0.2,0.02840822418756873,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.019143481264987553,0.2
2018-04,-0.03672203696866427,-0.0008781628696645,0.9999999967840181,0.2,0.02586194663557565,-0.019902932016263142,-0.0478745351779829,0.0,0.2,0.517238932711513,0.3103433596269078,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-05,-0.03998337875727398,-0.0936105275034941,0.9999999978510659,0.2,-0.013486506385806884,-0.0017921105496252476,0.030817163968933137,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-06,-0.013270915469926647,0.0380728809965852,0.9999999984206656,0.2,-0.055121105649671806,-0.04894830429651953,-0.11789142531979546,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-07,0.012033439753823538,-0.0179821797874026,0.9999999987000916,0.2,-0.0646651771331531,-0.0875095942966494,-0.268267450355929,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-08,0.008691876707128454,-0.0246110137666372,0.9999999988279406,0.2,-0.04319894107003041,-0.041324685638756686,-0.18973133447584556,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-09,-0.1337476549186405,-0.1168507909332999,0.9999999988668398,0.2,-0.02676937530992641,0.00728256219570711,-0.006106156055652345,0.0,0.2,0.0,0.2,0.0,0.2,0.0485504146380474,0.2,0.0,0.2,0.0,0.2
2018-10,0.03309380642103732,0.0413158865531148,0.9999999989201795,0.2,-0.1564911710161133,-0.11570369684892168,-0.1708699642986226,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-11,-0.026620787987619576,-0.0436729834300328,0.999999998934651,0.2,-0.10311455950389839,-0.09730153378269579,-0.16159172149816525,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2018-12,0.0802581308836019,0.0860742586384069,0.9999999989399226,0.2,-0.11585041706123472,-0.12890354128775894,-0.198529020171737,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2019-01,-0.004267934704496712,-0.0197284950662423,0.9999999756399662,0.2,-0.021462696675266933,0.08629897240789508,0.18101106556820012,0.0,0.2,0.0,0.2,0.0,0.2,0.5753264827193005,0.3451958896315803,0.0,0.2,0.7240442622728005,0.4344265573636803
2019-02,-0.02494717277311076,-0.0127882119609274,0.9999997208023429,0.2,-0.01594087542600675,0.047013071418283925,0.16583453830342776,0.0,0.2,0.0,0.2,0.0,0.2,0.31342047612189283,0.2,0.0,0.2,0.0,0.21721327868184015
2019-03,0.02939274540771497,0.0360887759978909,0.9999979846410103,0.2,-0.02784397746559102,0.048813291707036965,0.23148543366351068,0.0,0.2,0.0,0.2,0.0,0.2,0.32542194471357977,0.2,0.0,0.2,0.0,0.2
2019-04,-0.07344836888932471,-0.0672349722338542,0.9998680935092156,0.2,0.009009729462064546,-0.0005714718506099059,0.26744760386614425,0.0,0.2,0.1801945892412909,0.2,0.1801945892412909,0.2,0.0,0.2,0.0,0.2,0.36740931759643713,0.22044559055786228
2019-05,0.04353156003126646,0.0343575038570491,0.9999340458831634,0.2,-0.05755215157558609,-0.07000872502730604,0.01661653924615636,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2019-06,-0.049783660401832464,-0.0888019852259,0.9999615622606587,0.2,-0.007101519983515922,-0.004694700749893088,0.08030805514721889,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.17479674618177082,0.2
2019-07,-0.02803586396813429,-0.015989412932112,0.999980780470572,0.2,-0.04628444306771609,-0.08124924869029759,-0.2778575088584728,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2019-08,0.04840964120898228,0.0523024925246462,0.9999903896365152,0.2,-0.0671955097361137,-0.03621908349034508,-0.09446064682046451,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2019-09,0.009902780425627533,-0.0516345635274035,0.9999951942362815,0.2,-0.017867039511590337,-0.03171380379556832,-0.14330776510736204,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2019-10,0.002150239268313925,-0.0011432925981264,0.9999975868425994,0.2,-0.008773354293174272,0.029107668479095183,0.027387076146498268,0.0,0.2,0.0,0.2,0.0,0.2,0.1940511231939679,0.2,0.0,0.2,0.01356041007893569,0.2
2019-11,0.05254409231498869,0.0331479306141162,0.9999973111992138,0.2,-0.0060845591303646295,0.06106846741243377,0.05184533838809324,0.0,0.2,0.0,0.2,0.0,0.2,0.4071231160828918,0.24427386964973508,0.0,0.2,0.005573994124055073,0.2
2019-12,-0.035792414195787936,-0.0481178219070479,0.9999732184148213,0.2,0.04753831670836856,0.06525283917534774,0.08876174296990269,0.0,0.2,0.9507663341673712,0.5704598005004227,0.9507663341673712,0.5704598005004227,0.43501892783565166,0.261011356701391,0.43501892783565166,0.261011356701391,0.23319526083249326,0.2
2020-01,-0.062293240424381,-0.061736681483043,0.49999308058957403,0.5,0.009693605282830312,0.017053213676130996,0.011111663930212123,0.0,0.5,0.19387210565660623,0.5,0.19387210565660623,0.5,0.11368809117420664,0.5,0.11368809117420664,0.5,0.0,0.5
2020-02,-0.11694455185185326,-0.1787914208908876,0.24999654029478702,0.75,-0.052737451993655156,-0.048348604887302526,-0.09438177019059371,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.75
2020-03,0.10994850358748165,0.1360470612750471,0.6249982625103936,0.4,-0.16232042770724772,-0.20159074063705607,-0.2565051369352825,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4
2020-04,0.04212446061941999,0.0851192607700717,0.8124991093102283,0.2,-0.045317524689084815,-0.08091040173559083,-0.01787332891504162,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
