dt,BM(무손절),HMM(p>=0.2)
1999-01-04,1.0,1.0
1999-01-05,0.9816362682015015,0.9816362682015015
1999-01-06,1.0421906797799922,1.0421906797799922
1999-01-07,1.085130314528885,1.085130314528885
1999-01-08,1.065966624031981,1.065966624031981
1999-01-11,1.0908487571139036,1.0908487571139036
1999-01-12,1.074237953900731,1.074237953900731
1999-01-13,1.0773695413414313,1.0773695413414313
1999-01-14,1.0286773922696835,1.0286773922696835
1999-01-15,1.0459519711071663,1.0459519711071663
1999-01-18,1.0594822944863929,1.0594822944863929
1999-01-19,1.0519937835698807,1.0519937835698807
1999-01-20,1.0440117518409904,1.0440117518409904
1999-01-21,0.9905883056862301,0.9905883056862301
1999-01-22,0.9370458162035419,0.9370458162035419
1999-01-25,0.918630976798289,0.918630976798289
1999-01-26,0.9041135079170564,0.918630976798289
1999-01-27,0.9619279492854645,0.918630976798289
1999-01-28,0.9725989474949325,0.918630976798289
1999-01-29,0.9725309078965095,0.918630976798289
1999-02-01,0.9899586017997564,0.918630976798289
1999-02-02,0.9654679820712022,0.8959049336256393
1999-02-03,0.9417261095570497,0.873873689592762
1999-02-04,0.936314000980809,0.8688515294954693
1999-02-05,0.9384243711816671,0.870809845161898
1999-02-08,0.9281957861778232,0.8613182411531415
1999-02-09,0.8907534393497617,0.8265736573112005
1999-02-10,0.8926425510091831,0.8283266563616865
1999-02-11,0.8917915885812726,0.8275370067289151
1999-02-12,0.939071110937059,0.8714099865942265
1999-02-18,0.9129294662049392,0.8471518766169787
1999-02-19,0.8887111087473266,0.8246784789139938
1999-02-22,0.8654117533160476,0.8030578681130022
1999-02-23,0.8558639798054318,0.7941980223675738
1999-02-24,0.8482734094912853,0.7871543611382419
1999-02-25,0.8494987974650213,0.7882914585372882
1999-02-26,0.8851030363631661,0.8213303721824653
1999-03-02,0.9087767654016462,0.8432983825533433
1999-03-03,0.9096617995673929,0.8441196490171143
1999-03-04,0.9059175441091369,0.8406451713543648
1999-03-05,0.9176608671652015,0.8515423748437209
1999-03-08,0.9732287552586562,0.9031065344208036
1999-03-09,0.9749476121061457,0.9047015457090687
1999-03-10,0.9688547959139262,0.8990477237412253
1999-03-11,0.9906394132929847,0.9192627350616173
1999-03-12,1.005497184043582,0.933049986804117
1999-03-15,1.0075735863838533,0.9349767820323235
1999-03-16,1.0242694650643671,0.950469703971587
1999-03-17,1.0220399476583317,0.9484008257894371
1999-03-18,0.9853804197825082,0.9143826579182681
1999-03-19,1.0283369865230698,0.9542441559577235
1999-03-22,1.0343277952562795,0.959803320218123
1999-03-23,1.0455605616310477,0.9702267532063719
1999-03-24,1.0406929775966902,0.9657098840484087
1999-03-25,1.0399952341117935,0.9650624137623582
1999-03-26,1.0378167204352629,0.9630408644339303
1999-03-29,1.0229759855535838,0.9492694211069305
1999-03-30,1.0518746363647042,0.976085891790158
1999-03-31,1.0534574140153476,0.9775546285399794
1999-04-01,1.083938946354361,1.0058399323658058
1999-04-02,1.10077100810897,1.0214592252362904
1999-04-06,1.134724325880799,1.052966168469647
1999-04-07,1.146008095985072,1.0634369303116178
1999-04-08,1.15933419669178,1.0758028705507954
1999-04-09,1.1699371553028248,1.085641874129438
1999-04-12,1.173715482498917,1.0891479686231873
1999-04-13,1.1739877447698586,1.089400614092852
1999-04-14,1.1699201194339066,1.0856260657139383
1999-04-15,1.228806781771662,1.1402698781373848
1999-04-16,1.2341338148805616,1.145213092549956
1999-04-19,1.304678620929791,1.2106750663852597
1999-04-20,1.3112139542048837,1.2167395215849885
1999-04-21,1.2649726849578578,1.173829987530169
1999-04-22,1.2601052048007497,1.1693132147649832
1999-04-23,1.2781285308526342,1.186037940007126
1999-04-26,1.3212042447983732,1.2260100005623027
1999-04-27,1.351294263784018,1.2539320000099656
1999-04-28,1.3445717437053248,1.2476938450252937
1999-04-29,1.2808856408088842,1.1885963971058833
1999-04-30,1.2808516729482975,1.188564876667661
