as_of,ai_says_bear,ai_v2_p_bear_total,kospi_ret_6m,vix_zscore_3m,foreign_5d_norm,kospi_next_ret,real_bear
2018-04-01,1,0.55,-0.9759876065065787,0.4215032992968416,-1.1547908706567165,1.301552454132037,0
2018-05-01,0,0.25,-4.789977892409725,-0.8697745168663832,-2.231125155241063,-3.0246336139694416,1
2018-06-01,1,0.55,-4.38124519600307,-0.5338896632363151,-1.9099163748440293,-3.978906999041227,1
2018-07-01,1,0.55,-8.747152619589983,0.26860003314857395,-2.041665816548284,1.4638297872340424,0
2018-08-01,1,0.55,-11.597211923476202,-0.5436855727616885,-1.2887957087765562,0.1671681711802073,0
2018-09-01,1,0.44999999999999996,-4.112658025284044,-0.1676240651566756,-0.1349913258684932,1.141514184992446,0
2018-10-01,1,0.55,-5.5198369139093595,-0.6948546219974232,0.21775633467342154,-12.383798140770253,1
2018-11-01,1,0.75,-17.711256626130346,1.4812773503439918,-3.3553072517318228,3.34855403348554,0
2018-12-01,1,0.55,-13.19910514541387,0.1588685883940944,-1.8692990323126155,-3.817622580061516,1
2019-01-01,1,0.6000000000000001,-9.514893617021281,0.9663951311606661,-1.3986021899162966,10.487247811191473,0
2019-02-01,0,0.2,-2.958876629889673,-1.18954324852599,1.590072770451772,-0.655285394033454,0
2019-03-01,0,0.3,-3.290246768507643,-1.0566992739412873,1.825956872248501,-1.7094017094017095,0
2019-04-01,1,0.55,-6.457503320053126,-1.0331258483639016,1.5427075625376072,-0.1926444833625219,0
2019-05-01,0,0.30000000000000004,8.428462709284634,-0.838719500284937,1.7345192070434508,-7.879105520614954,1
2019-06-01,1,0.65,-4.595621494481639,1.9350171305093988,0.32727818202375347,3.805970149253731,0
2019-07-01,0,0.2,5.900266463646742,-0.04993944041095654,0.1927004788421734,-4.150943396226415,1
2019-08-01,1,0.55,-8.018623900672528,0.42861940423183337,1.7254186521700527,-2.871621621621622,0
2019-09-01,1,0.6000000000000001,-9.733124018838302,1.0722317101476717,-0.6488805773943666,5.825617283950617,0
2019-10-01,0,0.2,-3.922942206654989,0.09952943885801455,-1.5519387607280493,0.6001091107474086,0
2019-11-01,0,0.25,-3.3542976939203384,-1.3118714929284798,-1.3996299833624493,-0.6099748833871547,0
2019-12-01,0,0.2,3.3582089552238736,-0.8686216596478796,-2.9551269629906,7.16084922634041,0
2020-01-01,0,0.15000000000000002,7.026055705300993,-0.09836815441148557,-1.2629705537519758,-2.036314271169184,0
2020-02-01,1,0.55,8.35210210210211,3.5955393988721567,-0.7026197631056446,-5.900674857241738,1
