ym,ret,pbear_raw,pbear,rvol,dvol,tgt_vol,exposure,exp_bin,regime
2018-01,-0.05419911303226155,0.9929935303714662,0.9929935303714662,0.10975630891172405,0.07913026770366739,0.07913026770366739,0.2,0.2,Bear
2018-02,0.0076173247545101574,0.9995129435392291,0.9962532369553476,0.17866001973463677,0.11440919039466046,0.09676972904916392,0.2,0.2,Bear
2018-03,0.028427655980584055,0.9999939402682121,0.9981235886117799,0.17343759880859191,0.12554939736148535,0.10636295181993773,0.2,0.2,Bear
2018-04,-0.03672203696866427,0.9998554547105267,0.9989895216611533,0.10534023650280318,0.12538249858558653,0.11111783851134993,0.2,0.2,Bear
2018-05,-0.03998337875727398,0.9995537589714492,0.9992716403163012,0.10987113632031976,0.09957924678321016,0.10881012016572197,0.2,0.2,Bear
2018-06,-0.013270915469926647,0.0037228284268802335,0.5014972343715908,0.13924650963332783,0.0956940615940289,0.10662411040377313,0.5,0.2,Bear
2018-07,0.012033439753823538,0.9999998715418676,0.7507485529567293,0.0806729440131096,0.10491427473284709,0.10637984816506942,0.25,0.2,Bear
2018-08,0.008691876707128454,0.9999999563494449,0.8753742546530872,0.09463003925054922,0.10276827745776092,0.10592840182665586,0.25,0.2,Bear
2018-09,-0.1337476549186405,0.9999998306186575,0.9376870426358723,0.09219118017445722,0.06690108929578828,0.10159203376767058,0.25,0.2,Bear
2018-10,0.03309380642103732,0.9414521599450207,0.9395696012904465,0.22376819723874392,0.14735385054170227,0.10616821544507375,0.25,0.2,Bear
2018-11,-0.026620787987619576,0.9999999962442693,0.9697847987673579,0.10166575779462195,0.14323297612609462,0.10953773914334838,0.25,0.2,Bear
2018-12,0.0802581308836019,0.9999999973195041,0.984892398043431,0.1433228689904566,0.15044166367615255,0.11294639952108206,0.25,0.2,Bear
2019-01,-0.004267934704496712,0.9420373963632129,0.963464897203322,0.1141159967014235,0.0805810253376632,0.11045675535312675,0.25,0.2,Bear
2019-02,-0.02494717277311076,0.8957302699275016,0.9295975835654118,0.12164642518909421,0.09177879113711923,0.10912261505198337,0.25,0.2,Bear
2019-03,0.02939274540771497,0.8753091652408443,0.902453374403128,0.10895107206932907,0.08507940644376408,0.10751973447810208,0.25,0.2,Bear
2019-04,-0.07344836888932471,0.3896216147769151,0.6460374945900216,0.10706815046587047,0.08495906171375986,0.1061096924303307,0.25,0.2,Bear
2019-05,0.04353156003126646,0.8027720412922131,0.7244047679411174,0.14007704246090089,0.10684202728438227,0.10615277095115726,0.25,0.2,Bear
2019-06,-0.049783660401832464,0.565545905549173,0.6449753367451452,0.0836403323400793,0.09396695639246354,0.10547578125345204,0.25,0.2,Bear
2019-07,-0.02803586396813429,0.9569370637124087,0.8009562002287769,0.13878994273146142,0.10988592931779526,0.10570789430947011,0.25,0.2,Bear
