as_of,har_vol_fcst,garch_vol_fcst,trailing_drift,realized_next_vol,kospi_next_ret,real_bear,ai_says_bear
2018-04-01,4.297156397632113,4.7694151976795585,-0.043678098152975776,3.336650972312553,1.301552454132037,0,1
2018-05-01,3.5561290143540467,3.5854193680879636,-1.6625731386787221,3.1434474223367044,-3.0246336139694416,1,0
2018-06-01,3.5174560335133815,3.697938629847495,-1.0561871136329126,3.581327771006487,-3.978906999041227,1,1
2018-07-01,3.8083294916449657,3.6075766213566403,-2.2177496413766007,3.190554510057886,1.4638297872340424,0,1
2018-08-01,3.4883156017900463,3.231266753170387,-2.7640348834187325,3.354959052683628,0.1671681711802073,0,1
2018-09-01,3.494687410755791,3.2449812413686745,-1.3040992568185972,2.9224444837608554,1.141514184992446,0,1
2018-10-01,3.4212550791892964,3.3711164151120077,-0.1445991089725445,5.611370015132763,-12.383798140770253,1,1
2018-11-01,4.244338593032998,4.466846742535645,-4.255385171181654,4.9968266093138825,3.34855403348554,0,1
2018-12-01,4.109852977449905,3.9403708776105177,-3.168965148433799,4.243982343124006,-3.817622580061516,1,1
2019-01-01,3.924934458135988,3.9952351500861147,-4.591490313093787,4.358175597056789,10.487247811191473,0,1
2019-02-01,4.08574642504826,4.079798902590415,3.3234798341458727,3.345273020864507,-0.655285394033454,0,0
2019-03-01,3.918380500257505,3.936295218894047,2.7416394188684023,3.326009267077075,-1.7094017094017095,0,0
2019-04-01,3.900983621729505,3.756912262114256,2.166662277547202,3.1494118651911216,-0.1926444833625219,0,1
2019-05-01,3.6936917121360784,3.5376210106567867,-0.11012122450377014,4.04639785810424,-7.879105520614954,1,0
2019-06-01,3.918927552366245,3.8313875484361457,-3.090881626098534,2.9068217906329394,3.805970149253731,0,1
2019-07-01,3.7418159332053635,3.6326636740265568,-0.23768390648868376,3.979950542960531,-4.150943396226415,1,0
2019-08-01,3.859856797931913,3.7909003106000325,-2.311372209598201,4.411644762449559,-2.871621621621622,0,1
2019-09-01,4.071884948294957,4.019359681933429,-0.6551153503679358,2.9760983796875538,5.825617283950617,0,1
2019-10-01,3.8882572220295284,3.8088482792514604,-0.4930053873131105,3.880132513652542,0.6001091107474086,0,0
2019-11-01,3.7993442514069575,3.750870237537235,0.9340019477592014,4.172742974336856,-0.6099748833871547,0,0
2019-12-01,3.94169570074156,3.978873831551823,2.7599661146705023,3.334235960928372,7.16084922634041,0,0
2020-01-01,3.876268296647022,3.872947098744834,3.164509820612766,5.534573511893819,-2.036314271169184,0,0
2020-02-01,4.551415753529775,4.796766096774717,1.2688610655609123,7.0958125898974584,-5.900674857241738,1,1
2020-03-01,5.657632945829612,6.330559135000288,-1.3725758927743958,19.78754274458713,-12.258652094717668,1,1
2020-04-01,25.025749629051386,16.851891535276913,-7.534736076617056,9.170923699647176,12.480940971465913,0,1
2020-05-01,13.213686773335493,6.606085668345119,-4.2660022866519185,5.765469357348187,6.9502696225284595,0,0
2020-06-01,5.018065219199483,4.963096128644185,-2.045244113211859,10.447917061368987,2.801684673136788,0,0
2020-07-01,6.169756919175045,7.619577410274208,5.75512134920761,4.677119469176554,6.569343065693431,0,0
2020-08-01,5.264666252717658,4.775082706836123,6.236353133046654,6.400232393293019,2.72302038088874,0,0
2020-09-01,5.8897211979205135,5.925513214623786,3.780996517265471,5.532261370559587,0.32273680813296757,0,0
2020-10-01,5.506299701500082,5.6135272166183245,3.5440869177967,3.9817981143815557,-4.089101034208433,1,0
2020-11-01,6.9071051375779735,5.44577562753091,0.12768070868005682,4.701433461074829,13.34967320261438,0,1
2020-12-01,5.749318597231657,5.102264674710609,3.8266705405574455,5.315881317293159,12.104441606357314,0,0
2021-01-01,6.468125804807606,5.842744917632012,9.201732375927838,8.989537525907037,1.4430192402565367,0,0
2021-02-01,7.2395407480645435,7.724888374794693,9.892121000206219,7.090322498030645,-1.055753262158956,0,0
2021-03-01,7.722623438712045,8.033574806380305,6.120643194431037,4.286121664487374,0.03557031064737966,0,0
2021-04-01,5.050560329560869,4.503700950296033,3.786574619287159,3.815193656659928,-0.6459948320413437,0,1
2021-05-01,5.2204229530247455,4.891085424348012,0.18626590377474528,4.103402709857935,1.7489589530041643,0,0
2021-06-01,5.015376219180398,4.246275234681519,0.872389413003064,2.577814000636155,2.069526799209394,0,0
2021-07-01,4.799497756952111,3.8303249862277906,1.387596248782206,3.426060593874289,-2.646654445462878,0,0
