pred_month,cutoff,month_ret,real_bear,p_bear_2s,p_bear_3s
1999-01,1998-12-28T00:00:00,1.5947748022456132,0,0.8023459282931468,0.19805898992981702
1999-02,1999-01-29T00:00:00,-8.98972678641562,1,0.1315597582282081,0.022049908281542126
1999-03,1999-02-26T00:00:00,19.02087900906302,0,0.9999765204245976,0.004862718989884308
1999-04,1999-03-31T00:00:00,21.5855198233611,0,0.5171778811396917,0.4037820191829988
1999-05,1999-04-30T00:00:00,-2.2017309202797763,0,0.1400973356656464,0.018625760102814533
1999-06,1999-05-31T00:00:00,19.969562860852253,0,0.9107362446653484,0.58621795842497
1999-07,1999-06-30T00:00:00,9.821061234781991,0,0.9046314979954322,0.29286617714715035
1999-08,1999-07-30T00:00:00,-3.2834185932281046,1,0.07403820362771803,0.0012252481113618945
1999-09,1999-08-31T00:00:00,-10.843605970652781,1,0.8889283775720936,0.02937080188224946
1999-10,1999-09-30T00:00:00,-0.31930719863462187,0,0.8095106475656739,0.9182670507929009
1999-11,1999-10-29T00:00:00,19.573845720794946,0,0.8887494615265885,0.8420317674571963
1999-12,1999-11-30T00:00:00,3.1515234875371334,0,0.7683875954276406,0.046315877505117856
2000-01,1999-12-28T00:00:00,-8.18912581873863,1,0.8705296913158568,0.03812971458485109
2000-02,2000-01-31T00:00:00,-12.23672494411404,1,0.9014213089373679,0.2689369965440903
2000-03,2000-02-29T00:00:00,3.930562950176464,0,0.4880318970005515,0.3533520795541922
2000-04,2000-03-31T00:00:00,-15.74441742846,1,0.8481382747920128,0.1194627315456352
2000-05,2000-04-28T00:00:00,0.8946897673412835,0,0.31492125773137536,0.8236426394609235
2000-06,2000-05-31T00:00:00,12.206914415515069,0,0.12282199303940666,0.995448969883141
2000-07,2000-06-30T00:00:00,-14.033998698463634,1,0.9203250339102828,0.0654423930798277
2000-08,2000-07-31T00:00:00,-2.457608156995328,0,0.8127054409142308,0.2695075471767845
2000-09,2000-08-31T00:00:00,-10.949438725088301,1,0.7418363964142278,0.2329698863410382
2000-10,2000-09-29T00:00:00,-16.101887569179883,1,0.8475689195009984,0.44827837523669395
2000-11,2000-10-31T00:00:00,-1.0204419378259444,0,0.8369873871849389,0.2958462008758786
2000-12,2000-11-30T00:00:00,-0.9052914733386319,0,0.8969453296310396,0.47812718905548407
2001-01,2000-12-26T00:00:00,22.45055271760179,0,0.8842140595994026,0.08076170509333423
2001-02,2001-01-31T00:00:00,-6.442685712936703,1,0.5656366735228643,0.7890133697698043
2001-03,2001-02-28T00:00:00,-9.49316851764065,1,0.918478542357325,0.026723200440135125
2001-04,2001-03-30T00:00:00,10.347467161026348,0,0.9188691364720377,0.5860227635707694
2001-05,2001-04-30T00:00:00,6.027433261031856,0,0.7792480551882475,0.1091567210158229
2001-06,2001-05-31T00:00:00,-2.781947368142934,0,0.8366169677033637,0.0414278651196842
