ret_1m,ret_3m,ret_6m,ret_12m,ma_gap_50,ma_gap_100,ma_gap_150,ma_gap_200,ma_slope_50,vol_1m,vol_3m,dist_high,up_days_1m,pred_month,cutoff,bull_1m,bull_3m,lr_bull_1m,gb_bull_1m,lr_bull_3m,gb_bull_3m
-0.14659114852075583,-0.42017002488951405,-0.5018259080038363,-0.4555705662574715,-0.20257031973997353,-0.35490251007631346,-0.413008118450385,-0.42216360403135056,-0.1823761355468474,0.2481052044323611,0.3440290687560859,-0.5264991299895793,0.38095238095238093,1998-01,1997-12-26,1,1,,,,
0.406302031484407,-0.015030358759893891,-0.24521435245403056,-0.18680727180533963,0.24974262773181932,0.04290048015327219,-0.08156091713484959,-0.11938898044620205,-0.08757115750176103,0.22809520443692033,0.39915631205214824,-0.29529587326097095,0.6666666666666666,1998-02,1998-01-30,0,0,,,,
0.05741934177968355,0.10868066722606717,-0.2743656068547248,-0.23028774328399126,0.1632997415704096,0.09240088374888433,-0.04720895517562507,-0.1116508669295545,0.0572610173356094,0.1620731720096205,0.37373737986341754,-0.30780396304441326,0.47619047619047616,1998-03,1998-02-27,0,0,,,,
-0.16246186298836895,0.21162667335713592,-0.3019907898161728,-0.2508098745617685,-0.0790288242088456,-0.007967548432039617,-0.11485067158498186,-0.19380875081215188,0.10048560494889869,0.09954658080367892,0.2983266333667674,-0.3928485505488496,0.47619047619047616,1998-04,1998-03-31,0,0,,,,
-0.10038016290945628,-0.2252427771939477,-0.299507756119629,-0.39944967504016426,-0.1396615155173736,-0.10866039525009308,-0.16317609115627874,-0.2495700624295739,-0.061930113156724476,0.13704132235412533,0.2253474807510739,-0.4683512187425828,0.42857142857142855,1998-05,1998-04-30,0,0,,,,
-0.16342356264252378,-0.38618209515906676,-0.31947195570564757,-0.5190656489577372,-0.19998991136699584,-0.2770059544216993,-0.2795042915910867,-0.3570520911834262,-0.14623738277488751,0.15067347915060958,0.22599850230070145,-0.5751176788567245,0.5238095238095238,1998-06,1998-05-29,0,0,,,,
-0.11511154513243593,-0.38241450215498407,-0.288202796162496,-0.6224827203711074,-0.15196525952874407,-0.3061755353223389,-0.3163256715696504,-0.3778164786853906,-0.16522324213330164,0.17398073674376024,0.2604891795932434,-0.6240265393429829,0.38095238095238093,1998-07,1998-06-30,1,1,,,,
0.08800224752351737,-0.1767653839551221,-0.38507696870430197,-0.5358649216325462,0.06176366176735182,-0.10973776639102828,-0.18389733060307134,-0.2216146278235166,-0.07231805324933549,0.15521011432610218,0.28064948580487736,-0.5512436988962104,0.5714285714285714,1998-08,1998-07-31,0,1,,,,
-0.09661254247354967,-0.07882390134456796,-0.4599808185841884,-0.5849536153544395,-0.025085123728593506,-0.10447854962103065,-0.23051527783916326,-0.25136780360726485,-0.01613566656566756,0.10871657587023299,0.26274076306732613,-0.5843640542728128,0.42857142857142855,1998-09,1998-08-31,1,1,,,,
0.001969635743021003,-0.004650805852225659,-0.33723461937726074,-0.535761834606554,-0.018616283825944713,-0.03357568372109243,-0.16617552554072124,-0.21717550220659165,-0.005981592820502257,0.12097497840074033,0.22283172828710432,-0.5267708618769062,0.42857142857142855,1998-10,1998-09-30,1,1,,,,
0.23187019031545386,0.12064199180870583,-0.07744872014959281,-0.32124897844038125,0.16778108239529388,0.18944092000711965,0.10292326139611663,-0.018759733514316368,0.03854916901911709,0.14528882021819092,0.22013581203953414,-0.3630599583567371,0.5714285714285714,1998-11,1998-10-30,1,1,,,,
0.17447694576429496,0.45692545636894555,0.3420849079297299,-0.10089733545151158,0.20091422969270822,0.295921740757243,0.31040408192920577,0.1812480539107706,0.14207320145077884,0.10472473513408202,0.215084336811957,-0.21323230766778423,0.7619047619047619,1998-12,1998-11-30,1,1,,,,
0.25945504060753355,0.8514763690441929,0.8836571013922494,0.39133233163168857,0.23656396742627872,0.4597085908852323,0.5441482717332253,0.47066750466573826,0.22674639602089197,0.1789428629850368,0.24949732905012945,-0.030007180730632466,0.6666666666666666,1999-01,1998-12-28,1,1,,,,
