ym,bench,ovA,ovB,ovP,expA,expB,expP
2018-04,0.04359220515190121,0.008718441030380242,0.008718441030380242,0.008718441030380242,0.2,0.2,0.2
2018-05,-0.0008781628696645961,-0.00017563257393291923,-0.00017563257393291923,-0.00017563257393291923,0.2,0.2,0.2
2018-06,-0.09361052750349415,-0.01872210550069883,-0.01872210550069883,-0.01872210550069883,0.2,0.2,0.2
2018-07,0.03807288099658521,0.019036440498292603,0.019036440498292603,0.019036440498292603,0.5,0.5,0.5
2018-08,-0.017982179787402606,-0.0044955449468506515,-0.0044955449468506515,-0.0044955449468506515,0.25,0.25,0.25
2018-09,-0.02461101376663727,-0.006152753441659317,-0.006152753441659317,-0.006152753441659317,0.25,0.25,0.25
2018-10,-0.11685079093329993,-0.029212697733324983,-0.029212697733324983,-0.029212697733324983,0.25,0.25,0.25
2018-11,0.04131588655311487,0.010328971638278717,0.010328971638278717,0.010328971638278717,0.25,0.25,0.25
2018-12,-0.04367298343003283,-0.010918245857508207,-0.010918245857508207,-0.010918245857508207,0.25,0.25,0.25
2019-01,0.08607425863840694,0.021518564659601735,0.021518564659601735,0.021518564659601735,0.25,0.25,0.25
2019-02,-0.01972849506624239,-0.004932123766560597,-0.004932123766560597,-0.004932123766560597,0.25,0.25,0.25
2019-03,-0.012788211960927425,-0.0031970529902318563,-0.0031970529902318563,-0.0031970529902318563,0.25,0.25,0.25
2019-04,0.03608877599789095,0.009022193999472737,0.009022193999472737,0.009022193999472737,0.25,0.25,0.25
2019-05,-0.0672349722338542,-0.01680874305846355,-0.01680874305846355,-0.01680874305846355,0.25,0.25,0.25
2019-06,0.03435750385704915,0.008589375964262288,0.008589375964262288,0.008589375964262288,0.25,0.25,0.25
2019-07,-0.08880198522590006,-0.022200496306475016,-0.022200496306475016,-0.022200496306475016,0.25,0.25,0.25
2019-08,-0.015989412932112028,-0.003997353233028007,-0.003997353233028007,-0.003997353233028007,0.25,0.25,0.25
2019-09,0.05230249252464625,0.013075623131161562,0.013075623131161562,0.013075623131161562,0.25,0.25,0.25
2019-10,-0.051634563527403504,-0.012908640881850876,-0.012908640881850876,-0.012908640881850876,0.25,0.25,0.25
2019-11,-0.0011432925981264166,-0.00028582314953160416,-0.00028582314953160416,-0.00028582314953160416,0.25,0.25,0.25
2019-12,0.03314793061411624,0.00828698265352906,0.00828698265352906,0.00828698265352906,0.25,0.25,0.25
2020-01,-0.04811782190704796,-0.01202945547676199,-0.01202945547676199,-0.01202945547676199,0.25,0.25,0.25
2020-02,-0.06173668148304309,-0.015434170370760773,-0.015434170370760773,-0.015434170370760773,0.25,0.25,0.25
2020-03,-0.17879142089088768,-0.04469785522272192,-0.04469785522272192,-0.04469785522272192,0.25,0.25,0.25
2020-04,0.13604706127504718,0.034011765318761794,0.034011765318761794,0.034011765318761794,0.25,0.25,0.25
2020-05,0.08511926077007179,0.021279815192517947,0.021279815192517947,0.021279815192517947,0.25,0.25,0.25
2020-06,-0.02558725040147099,-0.006396812600367748,-0.006396812600367748,-0.006396812600367748,0.25,0.25,0.25
2020-07,0.07130370406308563,0.017825926015771407,0.017825926015771407,0.017825926015771407,0.25,0.25,0.25
2020-08,0.051566299323108314,0.025783149661554157,0.025783149661554157,0.025783149661554157,0.5,0.5,0.5
2020-09,0.04312000077020737,0.03018400053914516,0.03018400053914516,0.03234000057765553,0.7000000000000001,0.7000000000000001,0.75
2020-10,0.003843715333729809,0.0032671580336703383,0.0032671580336703383,0.002882786500297357,0.8500000000000001,0.8500000000000001,0.75
2020-11,0.10577638696114196,0.08990992891697068,0.08990992891697068,0.10048756761308486,0.8500000000000001,0.8500000000000001,0.9500000000000001
2020-12,0.10249222241576389,0.08711838905339932,0.08711838905339932,0.0973676112949757,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-01,0.15078413914536495,0.12816651827356024,0.12816651827356024,0.14324493218809672,0.8500000000000001,0.8500000000000001,0.9500000000000001
