as_of,ai_says_bear,ai_v2_p_bear_total,kospi_ret_6m,vix_zscore_3m,foreign_5d_norm,kospi_next_ret,real_bear,ml_proba
2018-04-01,1,0.55,-0.9759876065065788,0.4215032992968416,-1.1547908706567165,1.301552454132037,0,0.5172123337833957
2018-06-01,1,0.55,-4.38124519600307,-0.5338896632363151,-1.909916374844029,-3.978906999041227,1,0.5527937281573743
2018-07-01,1,0.55,-8.747152619589983,0.2686000331485739,-2.041665816548284,1.4638297872340424,0,0.5662655727012977
2018-08-01,1,0.55,-11.597211923476202,-0.5436855727616885,-1.2887957087765562,0.1671681711802073,0,0.5431788460313982
2018-09-01,1,0.4499999999999999,-4.112658025284044,-0.1676240651566756,-0.1349913258684932,1.141514184992446,0,0.48414223632736786
2018-10-01,1,0.55,-5.5198369139093595,-0.6948546219974232,0.2177563346734215,-12.383798140770253,1,0.4733533787252375
2018-11-01,1,0.75,-17.711256626130346,1.4812773503439918,-3.3553072517318228,3.34855403348554,0,0.6316942407459202
2018-12-01,1,0.55,-13.19910514541387,0.1588685883940944,-1.8692990323126155,-3.817622580061516,1,0.568355890976692
2019-01-01,1,0.6000000000000001,-9.51489361702128,0.966395131160666,-1.3986021899162966,10.487247811191471,0,0.5433056138482404
2019-04-01,1,0.55,-6.457503320053126,-1.0331258483639016,1.5427075625376072,-0.1926444833625219,0,0.42474620320214534
2019-06-01,1,0.65,-4.595621494481639,1.9350171305093988,0.3272781820237534,3.805970149253731,0,0.4673392297860958
2019-08-01,1,0.55,-8.018623900672528,0.4286194042318333,1.7254186521700527,-2.871621621621622,0,0.4208803877140615
2019-09-01,1,0.6000000000000001,-9.733124018838302,1.0722317101476715,-0.6488805773943666,5.825617283950617,0,0.5149790474810071
2020-02-01,1,0.55,8.35210210210211,3.5955393988721567,-0.7026197631056446,-5.900674857241738,1,0.481458007711834
2020-03-01,1,0.6000000000000001,4.899691358024683,4.5031335234808,-2.1329645087778277,-12.258652094717668,1,0.543198968789818
2020-04-01,1,0.75,-12.402254955446445,1.0132365697660766,-3.1900102788159352,12.480940971465913,0,0.6159124447062551
2020-11-01,1,0.4499999999999999,20.391451967245857,2.8752260169417405,-1.0672832425322578,13.34967320261438,0,0.47181633921526317
2021-04-01,1,0.55,34.24025457438344,-1.1001577601944494,-1.8403159843360024,-0.6459948320413437,0,0.47430406009288517
2021-08-01,1,0.55,0.794780545670215,0.0809966263419829,-1.7405712182165518,-1.6399203467260162,0,0.5362192023077514
2021-09-01,1,0.6,-0.4387004979843456,-0.5637104200877353,-2.0552675481107467,-4.400047568081817,1,0.5506508669489097
2021-10-01,1,0.6000000000000001,-5.5790462767207005,2.120724028072458,-1.2055679846784613,-1.5718088477627077,0,0.5282054396094482
2021-11-01,1,0.55,-7.614515169541935,-0.8585170794895932,-1.420947619037046,-3.988713607797871,1,0.540444914806168
