pred_month,cutoff,kospi_mom_1m,kospi_mom_3m,kospi_mom_6m,kospi_vol_1m,kospi_vol_3m,kospi_dd_cur,kospi_ma200_gap,spx_mom_1m,spx_mom_3m,spx_mom_6m,spx_vol_1m,spx_vol_3m,spx_dd_cur,spx_ma200_gap,sox_mom_1m,sox_mom_3m,sox_mom_6m,sox_vol_1m,sox_vol_3m,sox_dd_cur,sox_ma200_gap,bear_1m_ret_3,bear_3m_dd_10,bear_6m_dd_15
1998-01,1997-12-26T00:00:00,-0.14659114852075583,-0.42017002488951405,-0.5018259080038363,0.2481052044323611,0.3440290687560859,-0.5264991299895793,-0.42216360403135056,-0.0151027378903964,-0.009267629760247753,0.05540407399527414,0.040905948986730216,0.11809271215709222,-0.04810981724940078,0.047225303061070534,-0.12156385963157057,-0.31630524091588363,-0.15712006439607562,0.14703153174417105,0.2750986225700453,-0.3587355392320676,-0.19865799945569584,0,1,1
1998-02,1998-01-30T00:00:00,0.406302031484407,-0.015030358759893891,-0.24521435245403056,0.22809520443692033,0.39915631205214824,-0.29529587326097095,-0.11938898044620205,0.009723540624898108,0.06649555892131209,0.027213412627678846,0.05086112829949734,0.08866486974771892,-0.005286670579232267,0.06952994963585857,0.10532158316682128,-0.07407290129841904,-0.21054496343290097,0.13389063366285647,0.25315115178693365,-0.2836934040480624,-0.10388214809273977,0,1,1
1998-03,1998-02-27T00:00:00,0.05741934177968355,0.10868066722606717,-0.2743656068547248,0.1620731720096205,0.37373737986341754,-0.30780396304441326,-0.1116508669295545,0.07353747696257917,0.1036157818905672,0.14845129889584285,0.030829882285279085,0.07560024971628447,0.0,0.11858656919356969,0.096773012946197,0.07388172382783176,-0.18148427100215891,0.10918099392978128,0.22679649057965975,-0.21605891092986518,-0.025896587085516898,1,1,1
1998-04,1998-03-31T00:00:00,-0.16246186298836895,0.21162667335713592,-0.3019907898161728,0.09954658080367892,0.2983266333667674,-0.3928485505488496,-0.19380875081215188,0.05158924438974055,0.15566164390244475,0.155673703992113,0.03255934740960332,0.06874486786573669,-0.003527358863967156,0.1440374550195782,-0.01946621337600163,0.15256987184053994,-0.22668667567145628,0.10276478638746653,0.2029758753479269,-0.2599841409004182,-0.07618557554184335,1,1,1
1998-05,1998-04-30T00:00:00,-0.10038016290945628,-0.2252427771939477,-0.299507756119629,0.13704132235412533,0.2253474807510739,-0.4683512187425828,-0.2495700624295739,0.009076469253460395,0.12811901796749559,0.20599883868669644,0.04111544852452994,0.06042480984422569,-0.016620410081257808,0.1284267918604347,0.05754938647103813,0.09786953945324606,0.007334476027317516,0.10273042088477288,0.18394643872115254,-0.2173966822303991,-0.019177824780018615,1,1,1
1998-06,1998-05-29T00:00:00,-0.16342356264252378,-0.38618209515906676,-0.31947195570564757,0.15067347915060958,0.22599850230070145,-0.5751176788567245,-0.3570520911834262,-0.0034715689874805777,0.03952959176230686,0.1472412632111404,0.035548663247979374,0.06117274384835513,-0.03513373379183937,0.08851892398306593,-0.17208899896865182,-0.18051384647255442,-0.11996879679690753,0.07895091164167498,0.1705941052982757,-0.3575711323257986,-0.17577764270134533,1,1,1
1998-07,1998-06-30T00:00:00,-0.11511154513243593,-0.38241450215498407,-0.288202796162496,0.17398073674376024,0.2604891795932434,-0.6240265393429829,-0.3778164786853906,0.03928576703410025,0.02912635881126624,0.18932185960716486,0.04608922347706385,0.06878303021176395,-0.004084378829808832,0.108632001462863,-0.018556984281644873,-0.1766656088874703,-0.05104958635352275,0.13026737906028518,0.1873031505629716,-0.3907194932346303,-0.17868929546091927,0,1,1
1998-08,1998-07-31T00:00:00,0.08800224752351737,-0.1767653839551221,-0.38507696870430197,0.15521011432610218,0.28064948580487736,-0.5512436988962104,-0.2216146278235166,-0.024282591441134427,-0.00029434081595669515,0.14321419436559868,0.04621275966885289,0.07280387832583819,-0.055681446011954905,0.07259653500282326,0.009495524812994649,-0.19513584418004837,-0.11752502477250881,0.11716422678887656,0.19653984694154333,-0.3678773544820253,-0.10643730007371499,1,1,1
1998-09,1998-08-31T00:00:00,-0.09661254247354967,-0.07882390134456796,-0.4599808185841884,0.10871657587023299,0.26274076306732613,-0.5843640542728128,-0.25136780360726485,-0.14579671825011387,-0.12434820534683211,-0.09005531118750798,0.09290583952365375,0.11670120607954224,-0.1933599921661049,-0.09648763033947083,-0.2417401299284574,-0.23238372332019974,-0.3575840122589138,0.15558077531820017,0.23738047872565743,-0.5128540747979204,-0.3034206601638141,0,1,1
1998-10,1998-09-30T00:00:00,0.001969635743021003,-0.004650805852225659,-0.33723461937726074,0.12097497840074033,0.22283172828710432,-0.5267708618769062,-0.21717550220659165,0.06239551504341101,-0.11453475840801008,-0.0822451948206454,0.10127791539844372,0.14666752606533803,-0.143029273422688,-0.046038945632892014,0.09975708342370404,-0.15818000287849288,-0.3142866401975769,0.1399881556693332,0.24338603867014214,-0.4542679757675342,-0.21098237534354003,0,0,1
1998-11,1998-10-30T00:00:00,0.23187019031545386,0.12064199180870583,-0.07744872014959281,0.14528882021819092,0.22013581203953414,-0.3630599583567371,-0.018759733514316368,0.1138292436353312,-0.012378104155025937,-0.02085422786800295,0.06223864086701072,0.1575294403068607,-0.07421947002712237,0.022443791170884353,0.2844565513719888,0.027183466961382186,-0.1715719156270481,0.1352405775297224,0.26217896274008157,-0.20369919697496575,-0.011718691387678004,0,1,1
1998-12,1998-11-30T00:00:00,0.17447694576429496,0.45692545636894555,0.3420849079297299,0.10472473513408202,0.215084336811957,-0.21323230766778423,0.1812480539107706,0.07155152480249694,0.21555863412036524,0.06440609947365128,0.0439784236068568,0.12918522295950813,-0.02407047732562262,0.06767603913612197,0.1671750215182095,0.5824158368988701,0.21468815287946086,0.10017489479684749,0.2217770680229243,-0.07171011149742856,0.1510882548422292,0,1,1
1999-01,1998-12-28T00:00:00,0.25945504060753355,0.8514763690441929,0.8836571013922494,0.1789428629850368,0.24949732905012945,-0.030007180730632466,0.47066750466573826,0.03253936427415893,0.16859134606654425,0.0764170091491887,0.06137455889212062,0.10412098835789592,-0.0024826613143618115,0.11123190647081627,0.08870001921934367,0.5404874052389261,0.37740371828126484,0.12722672058033602,0.213551423659736,-0.027712733611044538,0.2800040952660703,0,1,1
1999-02,1999-01-29T00:00:00,0.028936199488780012,0.5854118810523117,0.7040825919474836,0.15201114215028735,0.2570055707140402,-0.10846402715847758,0.45399850925654883,0.030463560665249245,0.19806388562563715,0.11959409363149565,0.05936035311840751,0.09257165926001619,0.0,0.14393408780442196,0.2388038296054502,0.6510898185135825,0.6297774800440386,0.13588267645028929,0.2045109107954301,0.0,0.5047529247407851,1,1,1
1999-03,1999-02-26T00:00:00,-0.03649772463800238,0.17911395374164507,0.6426924526179385,0.12416376450768757,0.26070861907626725,-0.188610675319543,0.2952000627208069,-0.003893343403984062,0.04677974139861352,0.1421706739397619,0.06422183088051257,0.10414774823734446,-0.032282562377591306,0.09439129371918131,-0.09530459880882325,0.13389989177667871,0.5255428066109702,0.18339222916096262,0.25861431640021487,-0.15266975996613563,0.2411422289622689,0,1,1
1999-04,1999-03-31T00:00:00,0.15920372760603918,0.09501646838096778,1.0809546312538973,0.09264823188018777,0.20956854090475252,-0.03427729357961973,0.446893223949155,0.049669518659475775,0.03588305330196628,0.2262587664361222,0.05628291385128959,0.10117398701722251,-0.0229235901345346,0.11658508395289391,0.06786299693910025,0.09231001076387546,0.6755401798352401,0.128147336010338,0.2612117344842065,-0.1182542508673321,0.23993495026985578,0,1,1
1999-05,1999-04-30T00:00:00,0.215855198233611,0.41669343697694483,0.9674528089264636,0.11062188584288692,0.19107957589346833,-0.05212971942799549,0.5974615746385212,0.03794402759627746,0.04340286207583066,0.2500632872114803,0.052803981587987756,0.09766389556771465,-0.020267092843838652,0.13857434062029506,-0.00124085441972277,-0.11934836897721512,0.4540349416391001,0.14127241592803855,0.2595205095438449,-0.11934836897721512,0.17967828658871965,0,1,1
1999-06,1999-05-31T00:00:00,-0.022043244367217496,0.4152598219176138,0.6687526041929739,0.10389195080036999,0.1797145053681001,-0.09606500741950752,0.436527781241391,-0.030525078808046557,0.05313222384204486,0.09686820896653736,0.05683908468717893,0.09548323183316308,-0.04805645818657278,0.09093674639678473,0.04271550768932597,0.07828862819866522,0.2264741684981939,0.13341600336713835,0.23217408764059175,-0.09592134567087707,0.18432769604297317,0,1,1
1999-07,1999-06-30T00:00:00,0.17152262686667719,0.4265404825068966,0.5620853211571835,0.13176409946589832,0.2018349911673033,-0.022202522633293476,0.5470001626689254,0.060613748844856374,0.06711907627513258,0.10541056696865825,0.04810349155619639,0.09097797309287584,0.0,0.12110290823004122,0.2899747782020867,0.306746143691337,0.4273718942811371,0.11985068735721988,0.23141717404487092,0.0,0.3785536429877876,0,1,1
1999-08,1999-07-30T00:00:00,0.05406638328046154,0.2816980614104374,0.7157111637639513,0.16020000564704592,0.23402828074919124,-0.05662844742953854,0.5071886421544429,-0.032046092391091685,-0.004838360931065155,0.0383545024326013,0.04051301884712789,0.08497444769481881,-0.06347711183838856,0.05214585957375961,0.01965112761645149,0.3340805787056744,0.17486023755297309,0.126012081324047,0.2223829385965518,-0.06812182067791528,0.2936907413825318,0,1,1
1999-09,1999-08-31T00:00:00,-0.022848264481056813,0.20517595302282876,0.761971939352639,0.09851937724827037,0.23007167206232484,-0.08760328438986165,0.331743848579918,-0.005752806270500899,0.019771220818087132,0.07551526162342692,0.05352668869415217,0.08255930744197106,-0.06933421184814548,0.02428900255138111,0.06481164318533317,0.31838048330328284,0.4769666977570617,0.09065491972185753,0.19101813902204337,-0.015411281826921419,0.2744653432680664,1,1,1
